,Baseline MG94xREV omega ratio,Rate classes,Rate distributions,Corrected P-value
AjPh,7.33752774592552,1,"[[9.44143139236554, 1]]",1.0
EpPi,0.2043594915177324,1,"[[0.1819947756736255, 1]]",1.0
Myotis,0.1650738008555813,1,"[[0.1450202711713804, 1]]",1.0
Phyllostomidae,0.1474704330161391,1,"[[0.1256109015843908, 1]]",1.0
Phyllostomus,0.07963927096710535,1,"[[0, 1]]",1.0
Pipistrellus,0.2561285262216834,1,"[[0.2238167758355106, 1]]",1.0
Pteropodidae,0.0812660574459371,1,"[[0.07185631411800093, 1]]",1.0
Pteropus,0.1839817919786262,1,"[[0.162155246638524, 1]]",1.0
Pteropusgv,0.0,1,"[[0, 1]]",1.0
Vespertilionidae,0.09692855578572249,1,"[[0.08956855215140296, 1]]",1.0
Yangochiroptera,0.167225749192186,1,"[[0.1414287666328009, 1]]",1.0
ajXP_053520706_1,0.3868796398725333,2,"[[0.07863518681234016, 0.952626084664739], [9090.000000003736, 0.04737391533526103]]",0.009748583276020961
drXP_024407673_1,0.05470314559290142,1,"[[0.05078937673001026, 1]]",1.0
enKAK1338058_1,0.0,1,"[[0, 1]]",1.0
mbXP_014389413_1,1.0,1,"[[1, 1]]",1.0
mdXP_059556451_1,1.0,1,"[[1, 1]]",1.0
mlXP_014307360_1,0.0,1,"[[0, 1]]",1.0
mmXP_036172482_1,0.0,1,"[[0, 1]]",1.0
moXP_036104795_1,0.09571401116612115,1,"[[0.08639780081650474, 1]]",1.0
paXP_006915435_1,1.0,1,"[[1, 1]]",1.0
pdXP_028365410_1,0.0,1,"[[1, 1]]",1.0
pgXP_039725708_1,1.0,1,"[[1, 1]]",1.0
phXP_045699241_1,0.1713333228382912,1,"[[0.0976698105282564, 1]]",1.0
pkXP_036271068_1,0.4712874866026345,1,"[[0.4444846257176981, 1]]",1.0
pnCAK6446635_1,0.0,1,"[[0, 1]]",1.0
pvXP_011354456_1,0.0,1,"[[0, 1]]",1.0
raXP_015988170_1,0.0918638717898448,1,"[[0.08111705709154884, 1]]",1.0
rfXP_032953568_1,0.5406379468890224,1,"[[0.4807091582513586, 1]]",1.0
sbXP_066103968_1,0.2373469183670339,1,"[[0.210360508814539, 1]]",1.0
