,Baseline MG94xREV omega ratio,Rate classes,Rate distributions,Corrected P-value
AjPh,10000000000.0,1,"[[10000000000, 1]]",1.0
EpPi,0.0,1,"[[0.003033305889269272, 1]]",1.0
Myotis,0.3362591629783969,1,"[[0.3333929961701458, 1]]",1.0
Phyllostomidae,0.117773254907578,1,"[[0.1162804499323005, 1]]",1.0
Phyllostomus,0.0,1,"[[0, 1]]",1.0
Pipistrellus,0.7832534750862771,1,"[[151.6036564631266, 1]]",1.0
Pteropus,0.0,1,"[[0, 1]]",1.0
Vespertilionidae,10000000000.0,1,"[[10000000000, 1]]",1.0
ajXP_037003325_1,0.0,1,"[[0, 1]]",1.0
drXP_024432385_1,10000000000.0,1,"[[10000000000, 1]]",1.0
enKAK1333120_1,9.834280789099602e-05,1,"[[0.0001098259459210135, 1]]",1.0
mbXP_014391268_1,1.0,1,"[[1, 1]]",1.0
mdXP_059557148_1,1.0,1,"[[1, 1]]",1.0
mlXP_023610053_1,0.4177794140223932,2,"[[0, 0.9046668072976662], [24242.24058910811, 0.09533319270233376]]",1.507073827067273e-06
mmXP_036173133_1,0.0,1,"[[0, 1]]",1.0
moXP_036104371_1,0.1566016497340241,1,"[[0.1520074431399589, 1]]",1.0
paXP_006926438_1,10000000000.0,1,"[[10000000000, 1]]",1.0
pdXP_028364468_1,1.0,1,"[[1, 1]]",1.0
pgXP_039709096_1,1.0,1,"[[1, 1]]",1.0
phXP_045699851_1,10000000000.0,1,"[[10000000000, 1]]",1.0
pkXP_036269556_1,0.0,1,"[[0, 1]]",1.0
pnCAK6446828_1,0.0,1,"[[0, 1]]",1.0
pvXP_011381860_1,1.0,1,"[[1, 1]]",1.0
raXP_015997171_2,0.6729877408737617,1,"[[0.6658550543251037, 1]]",1.0
rfXP_032959283_1,0.3470939562219694,1,"[[0.3424241929162912, 1]]",1.0
sbXP_066109090_1,0.2261917608099508,1,"[[0.2232128197590074, 1]]",1.0
