NP_066933.1	mlXP_006085309.1	0.918	1789	147	0	8	1796	1	1788	0.000E+00	3462
NP_000080.2	mlXP_006085025.1	0.920	1366	109	0	1	1366	1	1366	0.000E+00	2795
NP_115907.2	mlXP_023620618.1	0.931	624	43	0	1	624	1	624	0.000E+00	1272
NP_065933.2	mlXP_023604039.1	0.768	1253	284	0	8	1260	8	1232	0.000E+00	1961
XP_006715396.1	mlXP_014311711.1	0.908	680	62	0	1	680	1	680	0.000E+00	1395
XP_006715396.1	mlXP_014311712.1	0.908	680	62	0	1	680	1	680	0.000E+00	1395
NP_001845.3	mlXP_023619877.1	0.929	1803	126	0	4	1806	48	1821	0.000E+00	3694
NP_942014.1	mlXP_006101435.1	0.935	654	42	0	1	654	1	654	0.000E+00	1348
NP_597714.2	mlXP_006088330.1	0.915	439	37	0	1	439	1	437	5.881E-286	871
NP_116277.2	mlXP_014302640.2	0.834	1233	202	0	7	1239	95	1309	0.000E+00	2218
NP_001032852.2	mlXP_014307916.1	0.834	1143	186	0	1	1124	1	1143	0.000E+00	2047
NP_000081.1	mlXP_023617884.1	0.868	1466	193	0	1	1466	1	1461	0.000E+00	2889
NP_001846.3	mlXP_023616110.1	0.738	1388	363	0	1	1388	1	1387	0.000E+00	2171
NP_001123575.1	mlXP_023619355.1	0.829	636	106	0	95	717	32	667	0.000E+00	1188
NP_000484.2	mlXP_014311711.1	0.908	680	62	0	1	680	1	680	0.000E+00	1395
NP_000484.2	mlXP_014311712.1	0.908	680	62	0	1	680	1	680	0.000E+00	1395
XP_006715395.1	mlXP_014311711.1	0.908	680	62	0	1	680	1	680	0.000E+00	1395
XP_006715395.1	mlXP_014311712.1	0.908	680	62	0	1	680	1	680	0.000E+00	1395
NP_690850.2	mlXP_023614016.1	0.841	1685	268	0	30	1714	52	1735	0.000E+00	3048
NP_001243003.1	mlXP_023620617.1	0.929	627	44	0	1	627	1	627	0.000E+00	1281
NP_065084.2	mlXP_023614632.1	0.931	744	51	0	1	744	1	743	0.000E+00	1570
NP_005193.1	mlXP_023614316.1	0.955	657	30	0	47	703	1	657	0.000E+00	1424
NP_001839.2	mlXP_023619347.1	0.849	504	76	0	1	502	1	504	5.916E-290	914
XP_006716714.1	mlXP_006085309.1	0.918	1789	147	0	8	1796	1	1788	0.000E+00	3462
XP_005270535.1	mlXP_023614316.1	0.955	657	30	0	47	703	1	657	0.000E+00	1424
NP_001842.3	mlXP_023610082.1	0.915	920	78	0	1	919	1	920	0.000E+00	1870
NP_569712.2	mlXP_023619305.1	0.773	1301	288	0	36	1336	12	1279	0.000E+00	2178
NP_203699.1	mlXP_006082308.1	0.932	1691	115	0	1	1691	1	1691	0.000E+00	3600
XP_006724679.1	mlXP_006082308.1	0.932	1691	115	0	1	1691	1	1691	0.000E+00	3600
NP_004361.3	mlXP_023610051.1	0.923	3061	236	0	1	3060	1	3061	0.000E+00	5936
XP_005246338.1	mlXP_023615229.1	0.818	1687	306	0	4	1690	1	1684	0.000E+00	3116
NP_000079.2	mlXP_006105322.1	0.952	1464	70	0	1	1464	1	1459	0.000E+00	3121
NP_000485.3	mlXP_014317401.1	0.798	1497	288	0	1	1497	1	1428	0.000E+00	2483
NP_004360.2	mlXP_023614978.1	0.792	3177	636	0	1	3177	1	3059	0.000E+00	5079
NP_000082.2	mlXP_023614891.1	0.812	1670	313	0	2	1669	5	1674	0.000E+00	3053
NP_000083.3	mlXP_023615229.1	0.818	1687	306	0	4	1690	1	1684	0.000E+00	3116
NP_000486.1	mlXP_006082309.1	0.932	1685	115	0	1	1685	1	1685	0.000E+00	3587
NP_001843.1	mlXP_023617709.1	0.922	687	54	0	3	689	2	688	0.000E+00	1418
XP_006710428.1	mlXP_023617709.1	0.922	687	54	0	3	689	2	688	0.000E+00	1418
NP_001844.3	mlXP_023604588.1	0.915	543	46	0	54	596	7	549	0.000E+00	1119
NP_001265227.1	mlXP_023605283.1	0.750	2612	652	0	1	2612	1	2608	0.000E+00	4029
NP_001847.3	mlXP_014315997.1	0.881	1625	191	0	1	1604	1	1625	0.000E+00	3200
NP_001847.3	mlXP_023614215.1	0.881	1625	191	0	1	1604	1	1625	0.000E+00	3200
XP_005251116.1	mlXP_014308166.1	0.918	1773	145	0	8	1780	1	1772	0.000E+00	3431
NP_110447.2	mlXP_023611336.1	0.910	957	86	0	1	957	1	957	0.000E+00	1896
NP_001835.3	mlXP_006091542.1	0.978	1487	33	0	1	1487	1	1487	0.000E+00	3246
NP_001836.2	mlXP_014309680.1	0.870	1670	217	0	1	1669	1	1670	0.000E+00	3308
NP_001837.2	mlXP_014309679.1	0.792	1712	355	0	1	1712	1	1706	0.000E+00	3022
NP_001849.2	mlXP_023610074.1	0.869	1141	149	0	1	1141	1	1137	0.000E+00	2201
NP_775736.2	mlXP_014310287.1	0.889	540	60	0	1	540	1	538	0.000E+00	1046
NP_001096078.1	mlXP_014306207.1	0.859	2260	318	0	2	2260	3	2262	0.000E+00	4025
XP_005247178.1	mlXP_014306207.1	0.859	2260	318	0	2	2260	3	2262	0.000E+00	4025
NP_001841.2	mlXP_023614632.1	0.931	744	51	0	1	744	1	743	0.000E+00	1570
NP_378667.1	mlXP_023614431.1	0.802	1712	334	0	1	1690	1	1712	0.000E+00	3019
NP_000384.2	mlXP_023617883.1	0.767	1478	281	0	22	1499	3	1210	0.000E+00	2441
NP_001840.3	mlXP_023601736.1	0.892	1021	110	0	1	1019	1	1021	0.000E+00	1950
NP_085059.2	mlXP_023619305.1	0.773	1301	288	0	216	1516	12	1279	0.000E+00	2178
