qseqid	sseqid	pident	length	mismatch	gapopen	qstart	qend	sstart	send	evalue	bitscore
NP_000403.1	XP_036204444.1	46.533	548	175	9	5	525	10	466	2.36e-113	345.0
NP_000586.2	XP_036212554.1	35.294	153	84	4	62	205	91	237	3.51e-21	89.0
NP_000587.1	XP_036183086.1	49.561	228	95	1	28	255	32	239	3.87e-74	227.0
NP_001008693.2	XP_036179572.1	48.673	113	48	2	12	124	7	109	1.4200000000000001e-27	101.0
NP_001037858.1	XP_036164079.1	31.373	51	31	1	16	62	1019	1069	3.0	29.6
NP_001038944.2	XP_036207924.1	48.958	96	49	0	17	112	6	101	5.31e-32	109.0
NP_001094811.1	XP_036158083.1	36.957	46	23	2	49	93	20	60	1.6	28.1
NP_001128564.1	XP_036181568.1	49.045	314	102	6	48	311	21	326	5.47e-78	241.0
NP_001129076.1	XP_036166963.1	46.341	164	36	3	21	134	113	274	1.1900000000000001e-35	124.0
NP_001138365.1	XP_036171275.1	46.561	189	89	2	60	248	72	248	1.14e-53	175.0
NP_001138366.1	XP_036171279.1	46.032	189	96	2	152	340	39	221	9.509999999999999e-54	177.0
NP_001138367.1	XP_036171275.1	46.561	189	89	2	104	292	72	248	2.88e-53	176.0
NP_001138368.1	XP_036171279.1	47.486	179	91	1	182	360	46	221	1.35e-53	178.0
NP_001138369.1	XP_036171279.1	46.369	179	87	2	206	378	46	221	1.04e-49	168.0
NP_001138371.1	XP_036171276.1	43.154	241	114	4	1	223	4	239	6.53e-57	182.0
NP_001138383.1	XP_036171278.1	49.275	69	35	0	216	284	81	149	6.9e-17	79.3
NP_001138478.1	XP_036189421.1	30.769	130	76	4	174	301	367	484	0.71	33.5
NP_001138479.1	XP_036189421.1	30.769	130	76	4	174	301	367	484	0.71	33.5
NP_001153212.1	XP_036212554.1	35.294	153	84	4	62	205	91	237	3.51e-21	89.0
NP_001157934.1	XP_036164343.1	33.799	358	205	9	4988	5335	418	753	3.63e-53	204.0
NP_001172087.1	XP_036156458.1	27.273	44	32	0	4	47	347	390	0.14	30.4
NP_001185744.1	XP_036199249.1	33.333	171	104	1	1133	1303	54	214	5.85e-15	82.0
NP_001230174.1	XP_036182801.1	44.444	216	95	8	12	211	13	219	2.69e-46	153.0
NP_001243649.1	XP_036190089.1	30.986	142	76	4	44	181	474	597	1.1700000000000001e-21	92.8
NP_001244064.1	XP_036174387.1	40.0	35	18	1	57	88	1892	1926	0.08	32.3
NP_001257349.1	XP_036208763.1	38.889	54	26	1	81	134	955	1001	0.008	38.1
NP_001258591.1	XP_036158238.1	36.535	635	330	17	21	599	8	625	2.6399999999999997e-113	363.0
NP_001265497.1	XP_036167546.1	45.455	110	57	3	20	128	86	193	3.79e-25	96.3
NP_001278238.1	XP_036186690.1	45.708	932	412	17	38	895	2	913	0.0	771.0
NP_001278713.1	XP_036202786.1	32.593	135	76	5	11	140	25	149	1.45e-10	58.9
NP_001278762.1	XP_036206187.1	48.587	566	204	14	1	534	1	511	1.21e-118	360.0
NP_001891.2	XP_036178541.1	49.58	119	59	1	22	140	27	144	8.16e-40	132.0
NP_002629.1	XP_036177407.1	47.009	117	42	4	1	117	1	97	1.46e-17	72.8
NP_002719.3	XP_036182801.1	46.296	216	102	7	12	222	13	219	2.05e-52	169.0
NP_002900.2	XP_036158204.1	40.936	171	96	1	1	166	5	175	9.100000000000001e-43	141.0
NP_002982.2	XP_036165463.1	41.667	96	54	2	1	96	1	94	2.93e-18	75.1
NP_002987.1	XP_036202741.1	43.737	471	129	15	1	397	1	409	1.1400000000000001e-79	252.0
NP_003010.4	XP_036193157.1	41.228	228	116	6	148	375	37	246	1.81e-39	142.0
NP_003232.2	XP_036210448.1	37.335	683	411	9	4	676	16	691	7.800000000000001e-160	479.0
NP_004254.2	XP_036158238.1	38.583	635	350	17	21	632	8	625	1.94e-128	404.0
NP_005055.3	XP_036196284.1	44.203	138	52	4	1	133	1	118	2.42e-26	97.4
NP_005469.2	XP_036158631.1	46.154	39	21	0	25	63	31	69	3.82e-06	43.5
NP_006410.1	XP_036160158.1	47.312	93	49	0	1	93	1	93	8.04e-18	73.6
NP_006498.1	XP_036158204.1	40.854	164	92	1	8	166	12	175	1.06e-41	138.0
NP_055255.1	XP_036167546.1	43.59	156	86	2	2	157	45	198	1.49e-37	129.0
NP_056234.2	XP_036206389.1	45.804	989	520	2	1848	2828	1646	2626	0.0	953.0
NP_060095.2	XP_036171098.1	29.032	93	49	5	31	118	218	298	0.052	36.6
NP_062564.1	XP_036167546.1	45.833	144	75	3	21	163	52	193	2.7900000000000003e-37	128.0
NP_066978.1	XP_036171279.1	47.486	179	91	1	206	384	46	221	3.08e-53	177.0
NP_068591.2	XP_036178297.1	33.988	509	290	13	9	486	15	508	1.54e-87	280.0
NP_068657.1	XP_036169902.1	46.562	640	194	12	1	636	1	496	2.82e-149	451.0
NP_072054.1	XP_036195508.1	49.77	217	68	3	1	177	18	233	1.5599999999999998e-54	173.0
NP_072055.1	XP_036195508.1	43.443	122	55	5	10	122	117	233	2.26e-19	81.3
NP_114156.1	XP_036193245.1	32.468	231	130	12	16	223	31	258	3.64e-11	62.4
NP_116738.1	XP_036197844.1	42.202	109	46	2	1	109	1	92	3.7200000000000004e-26	94.4
NP_116739.1	XP_036197844.1	49.462	93	46	1	1	93	1	92	4.78e-30	103.0
NP_477521.1	XP_036201726.1	38.356	73	36	4	12	77	594	664	0.007	35.4
NP_543020.2	XP_036176864.1	44.526	137	41	1	2	103	1	137	1.6100000000000002e-27	99.0
NP_543154.1	XP_036171098.1	29.661	118	54	6	42	152	218	313	0.015	38.5
NP_612640.1	XP_036192218.1	30.137	73	50	1	8	80	42	113	4.44e-07	46.6
NP_665905.2	XP_036196284.1	47.934	121	55	3	1	116	1	118	1.0400000000000002e-27	100.0
NP_689504.2	XP_036189421.1	30.769	130	76	4	174	301	367	484	0.71	33.5
NP_689886.3	XP_036206187.1	49.206	567	202	13	1	537	1	511	1.4300000000000002e-122	370.0
NP_775294.1	XP_036167556.1	47.248	218	92	4	1	197	2	217	3.92e-57	180.0
NP_775296.1	XP_036167556.1	40.826	218	87	5	1	178	2	217	9.37e-40	135.0
NP_940857.2	XP_036151442.1	33.467	1249	705	39	194	1369	80	1275	1.42e-159	562.0
NP_954572.2	XP_036176489.1	37.5	40	23	2	3	41	1300	1338	3.8	26.6
NP_963917.2	XP_036157568.1	49.434	265	98	4	1	231	1	263	7.43e-77	234.0
XP_005257276.1	XP_036195508.1	49.309	217	63	3	1	171	18	233	9.050000000000001e-58	181.0
XP_005263696.1	XP_036167546.1	43.59	156	86	2	2	157	45	198	1.49e-37	129.0
XP_005275787.1	XP_036191817.1	38.028	71	35	4	291	354	657	725	0.73	33.5
XP_006714126.1	XP_036160158.1	47.312	93	49	0	1	93	1	93	8.04e-18	73.6
XP_006722678.1	XP_036171278.1	49.275	69	35	0	244	312	81	149	8.75e-17	79.7
