qseqid	sseqid	pident	length	mismatch	gapopen	qstart	qend	sstart	send	evalue	bitscore
59463.ENSMLUP00000000083	rfXP_032946134.1	0.964	284	10	0	1	284	94	377	1.343e-183	571
59463.ENSMLUP00000001427	rfXP_032943217.1	0.931	189	13	0	24	212	1	189	1.609e-118	379
59463.ENSMLUP00000001789	rfXP_032971332.1	0.959	524	21	0	1	524	1	524	0.0	1043
59463.ENSMLUP00000002616	rfXP_032990906.1	0.929	427	30	0	1	427	1	427	4.627e-270	828
59463.ENSMLUP00000002847	rfXP_032969289.1	0.807	209	39	0	1	209	1	203	3.69e-105	340
59463.ENSMLUP00000003315	rfXP_032946413.1	0.829	1226	208	0	1	1219	1	1226	0.0	2077
59463.ENSMLUP00000003322	rfXP_032986834.1	0.972	324	9	0	4	327	172	495	2.202e-213	659
59463.ENSMLUP00000004009	rfXP_032960936.1	0.925	242	18	0	1	242	1	241	5.182e-142	448
59463.ENSMLUP00000004202	rfXP_032946676.1	0.944	449	25	0	1	449	1	449	2.4690000000000002e-265	817
59463.ENSMLUP00000005054	rfXP_032956699.1	0.972	760	21	0	1	759	1	760	0.0	1442
59463.ENSMLUP00000005277	rfXP_032979411.1	0.919	346	28	0	1	346	34	379	3.058e-204	634
59463.ENSMLUP00000005366	rfXP_032960851.1	0.799	1445	278	0	1	1386	6	1450	0.0	2243
59463.ENSMLUP00000005595	rfXP_032946676.1	0.954	307	14	0	1	307	144	450	6.377999999999999e-179	559
59463.ENSMLUP00000008027	rfXP_032943586.1	0.917	327	26	0	1	309	21	347	7.327e-195	604
59463.ENSMLUP00000009180	rfXP_032977584.1	0.961	565	22	0	7	571	7	570	0.0	1026
59463.ENSMLUP00000009404	rfXP_032948995.1	0.892	411	44	0	1	411	1	410	2.353e-236	731
59463.ENSMLUP00000010380	rfXP_032971986.1	0.885	385	44	0	7	391	37	421	4.1219999999999997e-231	714
59463.ENSMLUP00000011160	rfXP_032990303.1	0.921	754	59	0	9	762	5	758	0.0	1478
