qseqid	sseqid	pident	length	mismatch	gapopen	qstart	qend	sstart	send	evalue	bitscore
NP_000079.2	XP_036196892.1	95.287	1464	64	2	1	1464	1	1459	0.0	1735.0
NP_000080.2	XP_036184054.1	92.24	1366	106	0	1	1366	1	1366	0.0	1732.0
NP_000081.1	XP_036175696.1	86.747	664	86	1	1	662	1	664	0.0	656.0
NP_000082.2	XP_036176329.1	82.106	1643	292	2	29	1670	37	1678	0.0	1424.0
NP_000083.3	XP_036176132.1	80.179	1226	242	1	4	1229	1	1225	0.0	1086.0
NP_000084.3	XP_036185062.1	93.821	1845	94	5	1	1838	1	1832	0.0	2248.0
NP_000085.1	XP_036189534.1	82.711	2944	481	14	1	2943	1	2917	0.0	3763.0
NP_000384.2	XP_036174915.1	95.186	1475	71	0	25	1499	26	1500	0.0	2003.0
NP_000484.2	XP_036172394.1	91.324	680	59	0	1	680	1	680	0.0	677.0
NP_000485.3	XP_036191961.1	67.859	1565	298	24	1	1497	1	1428	0.0	1349.0
NP_000486.1	XP_036161589.1	92.95	1688	116	1	1	1685	1	1688	0.0	1609.0
NP_001032852.2	XP_036183979.1	83.406	1145	161	3	1	1124	1	1137	0.0	1588.0
NP_001096078.1	XP_036188538.1	85.531	2260	326	1	2	2260	3	2262	0.0	3949.0
NP_001123575.1	XP_036192848.1	81.129	726	67	7	19	717	19	701	0.0	741.0
NP_001157243.1	XP_036212186.1	91.949	236	19	0	32	267	32	267	6.830000000000001e-144	443.0
NP_001177638.1	XP_036200025.1	93.802	1807	72	2	1	1767	1	1807	0.0	2317.0
NP_001243003.1	XP_036182601.1	87.624	202	10	1	235	421	1	202	2.44e-90	281.0
NP_001265227.1	XP_036188539.1	75.402	2614	635	4	1	2612	1	2608	0.0	4047.0
NP_001265492.1	XP_036165986.1	90.703	441	39	2	1	441	1	439	0.0	580.0
NP_001274688.1	XP_036161322.1	79.398	1694	318	4	1	1666	1	1691	0.0	2019.0
NP_001274689.1	XP_036161322.1	77.568	1694	316	5	1	1633	1	1691	0.0	1977.0
NP_001835.3	XP_036156974.1	97.848	1487	32	0	1	1487	1	1487	0.0	2632.0
NP_001836.2	XP_036156427.1	86.766	1670	220	1	1	1669	1	1670	0.0	1802.0
NP_001837.2	XP_036156426.1	79.848	1712	341	3	1	1712	1	1708	0.0	2018.0
NP_001838.2	XP_036161322.1	81.183	1690	311	3	6	1691	5	1691	0.0	2056.0
NP_001839.2	XP_036206808.1	91.537	1028	86	1	1	1028	1	1027	0.0	1685.0
NP_001840.3	XP_036206158.1	90.481	1019	97	0	1	1019	1	1019	0.0	1653.0
NP_001841.2	XP_036206523.1	92.339	744	55	1	1	744	1	742	0.0	710.0
NP_001842.3	XP_036173182.1	91.413	920	78	1	1	919	1	920	0.0	1207.0
NP_001843.1	XP_036208257.1	92.722	687	50	0	3	689	2	688	0.0	796.0
NP_001844.3	XP_036179440.1	91.094	640	57	0	45	684	41	680	0.0	605.0
NP_001845.3	XP_036200025.1	95.351	1807	83	1	1	1806	1	1807	0.0	2397.0
NP_001846.3	XP_036186123.1	74.522	1413	295	9	1	1388	1	1373	0.0	1575.0
NP_001847.3	XP_036205507.1	87.877	1625	169	5	1	1604	1	1618	0.0	1988.0
NP_001849.2	XP_036174167.1	86.293	1160	136	3	1	1142	1	1155	0.0	1483.0
NP_004360.2	XP_036175505.1	82.075	3286	461	14	1	3177	1	3267	0.0	5317.0
NP_004361.3	XP_036174184.1	92.365	3065	232	1	1	3063	1	3065	0.0	5441.0
NP_005193.1	XP_036208615.1	95.626	663	29	0	41	703	41	703	0.0	723.0
NP_056534.2	XP_036170325.1	86.907	1749	225	3	1	1745	1	1749	0.0	2106.0
NP_065084.2	XP_036206523.1	92.339	744	55	1	1	744	1	742	0.0	710.0
NP_065933.2	XP_036179527.1	76.439	1286	268	10	8	1281	23	1285	0.0	1778.0
NP_066933.1	XP_036194062.1	91.537	1796	151	1	1	1796	1	1795	0.0	3065.0
NP_085059.2	XP_036205436.1	73.723	1507	341	10	22	1516	27	1490	0.0	1504.0
