,Baseline MG94xREV omega ratio,Rate classes,Rate distributions,Corrected P-value
AjPh,10000000000.0,1,"[[10000000000, 1]]",1.0
EpPi,0.369777321825584,1,"[[0.326591926260215, 1]]",1.0
MolossusPhyllostomus,0.0,1,"[[0, 1]]",1.0
Myotis,0.7520384882164581,1,"[[0.6654782038748424, 1]]",1.0
Phyllostomidae,0.09114229180795368,2,"[[0, 0.9292944393962352], [1.965065243046317, 0.07070556060376476]]",1.0
Phyllostomus,0.305737644653619,1,"[[0.2720102912120393, 1]]",1.0
Pipistrellus,0.0,1,"[[0, 1]]",1.0
Pteropodidae,0.0,1,"[[0, 1]]",1.0
Pteropus,0.1966755278662666,1,"[[0.1989790461419054, 1]]",1.0
Vespertilionidae,0.1292289714563033,1,"[[0.1132903576493339, 1]]",1.0
Yangochiroptera,0.0,1,"[[0, 1]]",1.0
YangochiropteraAfterSaccopteryx,0.0,1,"[[0, 1]]",1.0
ajXP_037022588_1,0.03018342711082122,1,"[[0.02780763138531633, 1]]",1.0
drXP_024428054_2,0.03895358778283661,1,"[[0.03366344670732814, 1]]",1.0
enKAK1332011_1,0.3729745023557917,1,"[[0.3300176722252225, 1]]",1.0
mbXP_005885928_1,0.377032080962623,1,"[[0.3353169121311308, 1]]",1.0
mdXP_059527789_1,10000000000.0,1,"[[10000000000, 1]]",1.0
mlXP_014308169_1,0.0,1,"[[0, 1]]",1.0
mmXP_036194069_1,0.0,1,"[[0, 1]]",1.0
moXP_036119903_1,0.06540657037511627,1,"[[0.05929586982236684, 1]]",1.0
paXP_024905865_1,0.3857325050351277,2,"[[0, 0.9811889362096864], [176.6846816614165, 0.01881106379031361]]",0.3131430247463918
pdXP_028389747_1,0.1776991686238076,1,"[[0.1645137587456181, 1]]",1.0
pgXP_039709638_1,1.0,1,"[[0.3454160579523711, 1]]",1.0
phXP_045717556_1,0.07720153393261008,1,"[[0.06722871846474603, 1]]",1.0
pkXP_036292778_1,1.0,1,"[[1, 1]]",1.0
pnCAK6438836_1,0.09278298756249646,1,"[[0.0823158492120478, 1]]",1.0
pvXP_023386732_1,0.6435895118135132,2,"[[0, 0.9813165712483473], [456.1941800428565, 0.01868342875165274]]",0.3027137319511817
raXP_016012082_1,0.06953385774726549,1,"[[0.06489229436308253, 1]]",1.0
rfXP_032981769_1,0.03916141629879703,1,"[[0.03550568920022266, 1]]",1.0
sbXP_066121846_1,0.03862554093416577,1,"[[0.03482583303702005, 1]]",1.0
