qseqid	sseqid	pident	length	mismatch	gapopen	qstart	qend	sstart	send	evalue	bitscore
NP_000005.2	rfXP_032972628.1	0.82	1473	265	0	1	1473	1	1473	0.0	2443
NP_000020.1	rfXP_032955607.1	0.682	477	151	0	10	485	1	477	1.028e-200	631
NP_000053.2	rfXP_032976892.1	0.688	509	156	0	1	500	1	509	2.628e-209	657
NP_000090.1	rfXP_032950095.1	0.689	147	45	0	1	146	1	147	2.9829999999999997e-60	207
NP_000091.1	rfXP_032984251.1	0.714	98	28	0	1	98	1	98	2.0749999999999998e-39	144
NP_000120.2	rfXP_032970579.1	0.863	731	100	0	1	731	1	731	0.0	1366
NP_000122.1	rfXP_032959694.1	0.722	466	124	0	1	466	1	447	2.1169999999999998e-228	710
NP_000124.1	rfXP_032972038.1	0.859	462	65	0	1	461	1	462	5.2619999999999993e-281	862
NP_000176.2	rfXP_032953671.1	0.833	499	83	0	1	499	1	496	3.8709999999999995e-273	841
NP_000286.3	rfXP_032964846.1	0.739	418	108	0	1	418	1	416	3.545e-201	629
NP_000292.1	rfXP_032953302.1	0.807	810	156	0	1	810	1	809	0.0	1487
NP_000293.2	rfXP_032971236.1	0.942	727	42	0	1	727	1	727	0.0	1457
NP_000299.2	rfXP_032951203.1	0.883	498	58	0	1	498	1	494	2.453e-304	931
NP_000345.2	rfXP_032970204.1	0.833	412	68	0	1	412	9	418	8.71e-221	685
NP_000350.1	rfXP_032962812.1	0.908	817	75	0	1	817	1	815	0.0	1542
NP_000353.1	rfXP_032972477.1	0.957	211	9	0	1	211	1	211	1.5429999999999999e-148	465
NP_000387.1	rfXP_032948543.1	0.927	330	24	0	1	329	1	330	3.0090000000000005e-212	656
NP_000403.1	rfXP_032987010.1	0.681	525	164	0	1	525	1	514	5.533e-218	683
NP_000479.1	rfXP_032948620.1	0.903	464	45	0	1	463	1	464	1.278e-278	855
NP_000495.1	rfXP_032959659.1	0.782	464	100	0	8	469	8	471	1.591e-250	775
NP_000496.2	rfXP_032951640.1	0.73	614	165	0	1	612	1	614	1.479e-312	962
NP_000497.1	rfXP_032975593.1	0.829	623	106	0	1	621	1	623	0.0	1116
NP_000593.1	rfXP_032967098.1	0.853	402	59	0	1	402	1	402	6.985999999999999e-228	705
NP_000615.3	rfXP_032965024.1	0.669	407	134	0	1	406	1	407	9.624000000000001e-166	526
NP_000884.1	rfXP_032987038.1	0.68	401	128	0	1	401	1	401	7.224e-179	565
