qseqid	sseqid	pident	length	mismatch	gapopen	qstart	qend	sstart	send	evalue	bitscore
NP_000086.2	rfXP_032990303.1	0.895	758	79	0	1	757	1	758	0.0	1444
NP_000129.3	rfXP_032964171.1	0.974	2333	61	0	1	2333	1	2333	0.0	5183
NP_000207.2	rfXP_032963554.1	0.869	680	89	0	1	680	1	680	0.0	1250
NP_000218.2	rfXP_032943513.1	0.811	1667	315	0	57	1723	1666	3331	0.0	2700
NP_000219.2	rfXP_032948573.1	0.863	1052	144	0	121	1172	1	1052	0.0	1863
NP_000349.1	rfXP_032952717.1	0.916	662	56	0	1	662	1	662	0.0	1224
NP_000417.2	rfXP_032958428.1	0.918	3121	256	0	1	3121	1	3119	0.0	6042
NP_000419.1	rfXP_032964283.1	0.852	1821	269	0	1	1821	1	1819	0.0	3403
NP_000492.2	rfXP_032966838.1	0.71	777	210	0	1	724	1	777	4.236e-264	827
NP_000499.1	rfXP_032991112.1	0.671	866	258	0	1	866	1	785	0.0	1113
NP_000500.2	rfXP_032991078.1	0.838	434	70	0	1	433	1	434	7.266999999999999e-257	791
NP_000543.2	rfXP_032972556.1	0.862	2813	388	0	1	2813	20	2832	0.0	5322
NP_000573.1	rfXP_032961411.1	0.787	300	64	0	1	300	1	300	1.318e-133	427
NP_000587.1	rfXP_032943850.1	0.612	265	99	0	1	256	8	272	6.932e-98	322
NP_000588.2	rfXP_032968576.1	0.865	328	41	0	1	328	1	307	1.57e-183	573
NP_000589.2	rfXP_032944756.1	0.812	293	55	0	1	291	1	293	1.886e-157	496
NP_000590.1	rfXP_032967829.1	0.977	269	6	0	4	272	3	271	1.886e-176	549
NP_000618.3	rfXP_032980627.1	0.943	1377	78	0	19	1395	327	1701	0.0	2901
NP_000629.3	rfXP_032944951.1	0.758	474	112	0	5	478	5	469	7.276e-235	730
NP_000811.1	rfXP_032960449.1	0.826	667	116	0	7	673	5	669	0.0	1167
NP_000891.2	rfXP_032971941.1	0.844	103	16	0	1	103	1	103	2.157e-51	179
NP_001004019.1	rfXP_032945194.1	0.825	1231	215	0	1	1231	27	1255	0.0	2182
NP_001007564.1	rfXP_032979668.1	0.812	278	51	0	1	278	1	274	2.309e-149	471
NP_001013416.1	rfXP_032944756.1	0.795	297	60	0	1	297	1	293	1.355e-154	488
NP_001017402.1	rfXP_032948573.1	0.863	1052	144	0	121	1172	1	1052	0.0	1863
NP_001025042.2	rfXP_032951288.1	0.869	230	30	0	1	230	1	230	8.336999999999999e-141	444
NP_001026887.1	rfXP_032988240.1	0.9	361	36	0	1	361	1	361	3.825e-235	727
NP_001028219.1	rfXP_032961994.1	0.911	567	50	0	1	565	1	567	0.0	1130
NP_001030024.1	rfXP_032963164.1	0.977	435	10	0	1	435	1	435	7.657e-294	897
NP_001033722.1	rfXP_032970791.1	0.923	262	20	0	1	262	1	262	2.593e-164	514
NP_001034437.1	rfXP_032980952.1	0.92	501	39	0	1	493	1	501	5e-323	985
NP_001034438.1	rfXP_032980952.1	0.92	501	39	0	1	493	1	501	5e-323	985
NP_001034589.2	rfXP_032969119.1	0.82	1229	219	0	1	1215	1	1229	0.0	2029
NP_001035096.1	rfXP_032951288.1	0.643	230	60	0	1	168	1	230	2.992e-91	298
NP_001035147.1	rfXP_032961410.1	0.793	314	65	0	1	314	1	314	4.9109999999999995e-140	447
NP_001035149.1	rfXP_032961411.1	0.714	300	82	0	1	287	1	300	8.574e-110	358
NP_001036009.1	rfXP_032984557.1	0.919	1483	120	0	144	1624	70	1552	0.0	3027
NP_001036010.1	rfXP_032984557.1	0.922	1557	121	0	1	1557	1	1552	0.0	3173
NP_001070883.1	rfXP_032988240.1	0.938	420	26	0	1	420	1	420	9.739999999999999e-281	859
NP_001073291.1	rfXP_032958429.1	0.918	3117	255	0	1	3117	1	3115	0.0	6035
NP_001073380.1	rfXP_032961538.1	0.716	521	141	0	1	497	1	521	4.579e-182	578
NP_001073906.1	rfXP_032967213.1	0.874	1304	164	0	1	1303	1	1304	0.0	2486
NP_001073909.1	rfXP_032989907.1	0.8	477	95	0	1	477	1	474	2.148e-239	743
NP_001075221.1	rfXP_032966838.1	0.688	777	211	0	1	677	1	777	2.0539999999999998e-249	782
NP_001075222.1	rfXP_032966838.1	0.698	777	209	0	1	692	1	777	9.914e-255	799
NP_001075223.1	rfXP_032966838.1	0.693	777	218	0	1	711	1	777	4.106e-254	798
NP_001075224.1	rfXP_032966838.1	0.715	777	201	0	1	705	1	777	1.019e-264	828
NP_001098676.2	rfXP_032958994.1	0.909	1824	166	0	1	1823	1	1824	0.0	3367
NP_001098677.2	rfXP_032958997.1	0.909	1817	165	0	1	1816	1	1817	0.0	3351
NP_001103824.1	rfXP_032966818.1	0.769	420	95	0	1	420	1	413	4.7e-217	675
NP_001106697.1	rfXP_032949201.1	0.974	539	14	0	1	539	1	539	0.0	1162
NP_001106699.1	rfXP_032949207.1	0.968	480	15	0	1	480	1	480	0.0	1002
NP_001108086.1	rfXP_032956267.1	0.511	430	163	0	1	335	1	430	6.276e-130	419
NP_001120.3	rfXP_032944538.1	0.823	1158	201	0	1	1158	1	1139	0.0	1859
NP_001121113.1	rfXP_032948573.1	0.863	1052	144	0	121	1172	1	1052	0.0	1863
NP_001121189.1	rfXP_032943513.1	0.809	3314	622	0	21	3276	18	3331	0.0	5583
NP_001121190.1	rfXP_032943513.1	0.78	1666	354	0	57	1667	1666	3331	0.0	2575
NP_001121637.1	rfXP_032956853.1	0.758	439	95	0	1	393	1	439	6.609000000000001e-222	687
NP_001121782.1	rfXP_032961537.1	0.725	664	175	0	1	664	1	639	1.122e-291	904
NP_001121797.1	rfXP_032961200.1	0.858	332	47	0	1	331	1	332	2.357e-189	590
NP_001121798.1	rfXP_032985161.1	0.707	89	26	0	44	132	27	115	1.669e-47	169
NP_001123614.1	rfXP_032954043.1	0.764	784	184	0	1	784	1	781	0.0	1195
NP_001123616.1	rfXP_032975814.1	0.949	1303	66	0	1	1303	1	1297	0.0	2730
NP_001128509.1	rfXP_032951890.1	0.93	216	15	0	1	216	147	362	8.84e-124	394
NP_001128530.1	rfXP_032963271.1	0.842	553	87	0	1	550	1	553	4.538e-318	974
NP_001128573.1	rfXP_032974430.1	0.694	380	100	0	1	380	1	328	3.697e-177	559
NP_001128719.1	rfXP_032970755.1	0.939	182	11	0	1	182	1	182	5.903e-110	352
NP_001128720.1	rfXP_032970755.1	0.939	182	11	0	1	182	1	182	5.903e-110	352
NP_001129386.1	rfXP_032955088.1	0.763	1686	356	0	1	1503	1	1686	0.0	2811
NP_001129396.1	rfXP_032944430.1	0.71	1781	461	0	1	1590	1	1781	0.0	2684
NP_001129406.1	rfXP_032960786.1	0.949	779	40	0	1	779	1	779	0.0	1500
NP_001129407.1	rfXP_032960785.1	0.947	781	41	0	1	781	1	781	0.0	1502
NP_001129408.1	rfXP_032960789.1	0.949	751	38	0	1	751	1	751	0.0	1445
NP_001133.1	rfXP_032975014.1	0.921	192	15	0	1	191	1	192	9.929e-111	355
NP_001134.1	rfXP_032975014.1	0.859	192	27	0	1	192	1	192	1.3839999999999998e-103	334
NP_001136272.1	rfXP_032964793.1	0.312	739	478	0	521	1259	228	923	8.886e-108	395
NP_001136273.1	rfXP_032959525.1	0.654	599	202	0	1	586	1	599	1.3749999999999999e-266	829
NP_001137417.1	rfXP_032960449.1	0.835	400	66	0	1	400	271	669	7.417999999999999e-224	694
NP_001137418.1	rfXP_032960449.1	0.831	374	63	0	1	374	297	669	3.869e-207	644
NP_001138409.1	rfXP_032949339.1	0.865	723	97	0	1	723	1	723	0.0	1292
NP_001138579.1	rfXP_032974069.1	0.985	816	12	0	51	866	1	816	0.0	1789
NP_001138580.1	rfXP_032974069.1	0.985	816	12	0	1	816	1	816	0.0	1790
NP_001138581.1	rfXP_032974069.1	0.972	811	23	0	9	815	6	816	0.0	1755
NP_001138582.1	rfXP_032974069.1	0.985	816	12	0	24	839	1	816	0.0	1789
NP_001139478.1	rfXP_032956987.1	0.806	599	116	0	45	643	7	605	0.0	1000
NP_001157738.1	rfXP_032975814.1	0.913	1182	99	0	1	1139	116	1297	0.0	2394
NP_001158507.1	rfXP_032945194.1	0.825	1231	215	0	1	1231	27	1255	0.0	2182
NP_001159605.1	rfXP_032962429.1	0.853	1970	289	0	1	1969	1	1970	0.0	3687
NP_001159736.1	rfXP_032980632.1	0.942	1353	78	0	1	1353	1	1351	0.0	2840
NP_001159737.1	rfXP_032980633.1	0.941	1342	79	0	1	1342	1	1340	0.0	2825
NP_001159738.1	rfXP_032980634.1	0.94	1300	78	0	1	1300	1	1298	0.0	2729
NP_001159884.1	rfXP_032956367.1	0.934	446	29	0	1	446	1	444	9.994e-285	872
NP_001164221.1	rfXP_032964894.1	0.961	444	17	0	1	444	1	441	8.704e-291	889
NP_001164222.1	rfXP_032964885.1	0.834	461	67	0	1	405	1	461	1.425e-249	768
NP_001164223.1	rfXP_032964885.1	0.961	363	14	0	1	363	1	360	3.331e-241	742
NP_001171271.1	rfXP_032943463.1	0.819	244	44	0	1	244	1	244	5.103e-131	417
NP_001171440.1	rfXP_032981535.1	0.846	678	103	0	1	678	1	671	0.0	1156
NP_001171441.1	rfXP_032981535.1	0.824	671	115	0	1	657	1	671	0.0	1113
NP_001171442.1	rfXP_032981535.1	0.85	671	98	0	1	656	1	671	0.0	1152
NP_001171443.1	rfXP_032981536.1	0.896	135	14	0	1	135	1	135	1.792e-74	251
NP_001171616.1	rfXP_032944141.1	0.886	636	72	0	15	650	1983	2618	0.0	1199
NP_001171617.1	rfXP_032944141.1	0.888	602	67	0	1	602	2017	2618	0.0	1139
NP_001171620.1	rfXP_032961990.1	0.909	598	54	0	1	595	1	598	0.0	1183
NP_001171621.1	rfXP_032961994.1	0.858	567	76	0	1	536	1	567	0.0	1055
NP_001171622.1	rfXP_032961990.1	0.859	598	80	0	1	566	1	598	0.0	1108
NP_001171623.1	rfXP_032961407.1	0.719	527	147	0	1	525	1	527	3.587e-223	698
NP_001171624.1	rfXP_032961409.1	0.731	414	111	0	1	412	96	509	1.1909999999999999e-177	561
NP_001171625.1	rfXP_032961409.1	0.731	414	111	0	1	412	96	509	1.1909999999999999e-177	561
NP_001171626.1	rfXP_032961409.1	0.731	414	111	0	1	412	96	509	1.1909999999999999e-177	561
NP_001171670.1	rfXP_032991109.1	0.711	485	121	0	15	432	1	485	2.393e-232	720
NP_001177768.1	rfXP_032971941.1	0.679	128	33	0	1	128	1	103	1.157e-45	164
NP_001184224.1	rfXP_032978545.1	0.769	677	152	0	1	677	1	659	0.0	1002
NP_001184225.1	rfXP_032978545.1	0.761	622	144	0	1	622	1	604	7.527e-294	909
NP_001185624.1	rfXP_032946855.1	0.96	254	10	0	27	279	3	256	1.882e-166	521
NP_001185950.1	rfXP_032961200.1	0.858	332	47	0	1	331	1	332	2.357e-189	590
NP_001189787.1	rfXP_032948323.1	0.641	573	203	0	1	566	1	573	2.0390000000000001e-252	785
NP_001191343.1	rfXP_032971320.1	0.852	463	64	0	1	436	1	463	4.686e-282	863
NP_001191344.1	rfXP_032971321.1	0.908	362	33	0	1	362	1	358	7.458e-238	732
NP_001191798.1	rfXP_032982457.1	0.872	125	16	0	1	125	1	124	4.884e-71	239
NP_001191799.1	rfXP_032982457.1	0.908	98	9	0	25	122	270	367	8.049e-59	201
NP_001192230.1	rfXP_032967166.1	0.896	1018	106	0	1	1017	1	1018	0.0	1915
NP_001193987.1	rfXP_032965444.1	0.885	517	54	0	33	500	1	517	7.204e-298	913
NP_001193988.1	rfXP_032965441.1	0.979	444	9	0	18	461	75	518	4.377e-292	894
NP_001229265.1	rfXP_032951890.1	0.87	362	47	0	1	362	1	362	3.558e-198	617
NP_001229837.1	rfXP_032970791.1	0.923	262	20	0	1	262	1	262	2.593e-164	514
NP_001229838.1	rfXP_032970791.1	0.922	232	18	0	4	235	31	262	3.05e-146	460
NP_001229839.1	rfXP_032970791.1	0.709	262	58	0	1	199	1	262	1.216e-111	358
NP_001238758.1	rfXP_032961411.1	0.7	300	82	0	1	273	1	300	1.4790000000000001e-108	353
NP_001238759.1	rfXP_032961410.1	0.786	285	61	0	43	327	30	314	2.1930000000000003e-123	399
NP_001239536.1	rfXP_032949362.1	0.968	956	30	0	1	947	1	956	0.0	1956
