qseqid	sseqid	pident	length	mismatch	gapopen	qstart	qend	sstart	send	evalue	bitscore
NP_001035249.1	rfXP_032991205.1	0.935	433	28	0	1	433	1	432	3.509e-274	841
NP_001119808.1	rfXP_032955859.1	0.419	308	170	0	40	347	96	388	1.791e-58	222
NP_001121180.1	rfXP_032949565.1	0.573	1360	449	0	4	1363	4	1056	0.0	1150
NP_001121181.1	rfXP_032949566.1	0.569	1308	432	0	4	1311	4	1007	0.0	1133
NP_001121182.1	rfXP_032949567.1	0.557	1267	426	0	4	1270	4	966	0.0	1041
NP_001126.3	rfXP_032955995.1	0.649	2330	648	0	1	2330	1	1847	0.0	2676
NP_001129076.1	rfXP_032965673.1	0.597	182	53	0	2	134	3	184	6.609e-61	208
NP_001139726.1	rfXP_032990447.1	0.879	488	59	0	10	494	6	493	7.635e-278	856
NP_001139727.1	rfXP_032990447.1	0.704	488	117	0	10	405	6	493	3.9210000000000004e-207	646
NP_001157569.1	rfXP_032966206.1	0.757	2409	580	0	1	2409	1	2389	0.0	3468
NP_001157570.1	rfXP_032966204.1	0.749	1336	335	0	1	1335	1	1336	0.0	1924
NP_001180264.1	rfXP_032978549.1	0.846	241	36	0	1	241	1	233	4.342e-127	405
NP_001186009.1	rfXP_032971775.1	0.928	613	44	0	30	642	1	613	0.0	1146
NP_001186010.1	rfXP_032971775.1	0.928	613	44	0	30	642	1	613	0.0	1146
NP_001186011.1	rfXP_032971775.1	0.704	613	139	0	49	519	1	613	3.969e-261	808
NP_001191281.1	rfXP_032991205.1	0.929	370	26	0	16	385	64	432	1.626e-234	723
NP_001191282.1	rfXP_032991205.1	0.933	317	21	0	1	316	116	432	3.406e-200	620
NP_001191283.1	rfXP_032991205.1	0.933	345	23	0	1	344	88	432	1.194e-218	675
NP_001191284.1	rfXP_032991205.1	0.93	318	22	0	24	340	115	432	1.0400000000000001e-199	620
NP_001191285.1	rfXP_032991205.1	0.841	432	62	0	1	393	1	432	4.2259999999999996e-240	740
NP_001191287.1	rfXP_032991205.1	0.932	310	21	0	1	310	1	308	6.282e-198	614
NP_001230174.1	rfXP_032975040.1	0.475	218	108	0	5	211	6	223	4.0149999999999996e-47	173
NP_001231879.1	rfXP_032985761.1	0.948	424	22	0	1	424	1	424	2.487e-278	852
NP_001238896.1	rfXP_032991205.1	0.752	432	84	0	1	338	1	432	1.578e-201	625
NP_001258.2	rfXP_032945540.1	0.963	359	13	0	1	359	1	359	1.409e-232	716
NP_001269297.1	rfXP_032959336.1	0.763	719	169	0	1	719	1	715	0.0	1036
NP_001278789.1	rfXP_032969663.1	0.895	4403	461	0	1	4392	1	4403	0.0	8275
NP_001554.2	rfXP_032959335.1	0.763	797	188	0	1	797	1	793	0.0	1146
NP_001702.1	rfXP_032969925.1	0.953	368	17	0	1	368	4	371	2.48e-240	739
NP_001875.1	rfXP_032967170.1	0.974	354	9	0	1	354	1	354	5.366e-245	752
NP_001911.1	rfXP_032972436.1	0.875	361	45	0	1	359	1	361	2.3340000000000003e-208	646
NP_002014.2	rfXP_032947819.1	0.946	376	20	0	1	376	1	376	6.603999999999999e-243	747
NP_002336.1	rfXP_032972447.1	0.887	339	38	0	1	338	1	339	9.035999999999999e-206	638
NP_002716.1	rfXP_032949121.1	0.885	382	43	0	1	382	1	379	1.549e-222	689
NP_002718.2	rfXP_032985566.1	0.656	157	50	0	2	158	1	147	2.1479999999999999e-54	191
NP_002719.3	rfXP_032975040.1	0.497	218	109	0	5	222	6	223	1.592e-52	189
NP_004376.2	rfXP_032966204.1	0.742	3396	871	0	1	3396	1	3378	0.0	4741
NP_004377.2	rfXP_032990793.1	0.754	1346	325	0	1	1321	1	1346	0.0	2021
