,Baseline MG94xREV omega ratio,Rate classes,Rate distributions,Corrected P-value
AjPh,0.4035011661608287,1,"[[0.3960137055313468, 1]]",1.0
EpPi,0.09644392495785668,1,"[[84435.469686961, 1]]",1.0
MolossusPhyllostomus,0.9661649578574751,1,"[[0.7386209557946157, 1]]",1.0
Myodm,0.165180328112997,1,"[[0.09615327945311378, 1]]",1.0
Myotis,0.2438748172660571,1,"[[0.2510377050886687, 1]]",1.0
Phyllostomidae,0.1657506888486109,1,"[[0.1577923321411577, 1]]",1.0
Phyllostomus,0.2629225328003861,1,"[[0.2521911299921037, 1]]",1.0
Pipistrellus,0.6811559319745298,1,"[[0.1897373089388519, 1]]",1.0
Pteropodidae,0.4913473990799055,2,"[[0, 0.7849848442601806], [2.424438094256469, 0.2150151557398194]]",1.0
Pteropus,0.2117593926636682,1,"[[0.1996421321754769, 1]]",1.0
Vespertilionidae,0.2955786515936043,1,"[[0.308465839120726, 1]]",1.0
Yangochiroptera,0.1689962494009086,1,"[[0.1663519801318067, 1]]",1.0
YangochiropteraAfterSaccopteryx,0.0,1,"[[0, 1]]",1.0
ajXP_037022941_2,0.2477431159917392,1,"[[0.2372167771653946, 1]]",1.0
drXP_024419073_1,0.247928872208476,1,"[[0.2343236882973973, 1]]",1.0
enKAK1327785_1,9.357459138976368e-05,2,"[[0, 0.4538496975996577], [0.05794451114540163, 0.5461503024003423]]",1.0
mbXP_005866509_1,0.1148764995504127,1,"[[0.1725518791618686, 1]]",1.0
mdXP_059549918_1,0.0938065614045107,1,"[[0.08980874103158627, 1]]",1.0
mlXP_023604926_1,0.7107702797374065,2,"[[0.06572969971921273, 0.9881596156710271], [3293.289542269301, 0.01184038432897294]]",0.0
mmXP_036165529_1,0.0,1,"[[0, 1]]",1.0
moXP_036136753_1,0.3406403872179943,2,"[[0.2397186446175435, 0.981499903611226], [2362.113927686642, 0.01850009638877403]]",1.279194417058704e-08
paXP_006913336_1,0.0,1,"[[0, 1]]",1.0
pdXP_028366013_1,0.09942150404978417,1,"[[0.09525957647756356, 1]]",1.0
pgXP_039704351_1,0.7494086974985864,1,"[[0.7187920572060853, 1]]",1.0
phXP_045693942_1,0.09360201742096405,1,"[[0.08926734312900393, 1]]",1.0
pkXP_036267287_1,0.08996105312437012,1,"[[0.08496412622206262, 1]]",1.0
pnCAK6444419_1,0.1365503708298717,1,"[[0.1318195035031473, 1]]",1.0
pvXP_011363454_1,0.0,1,"[[0, 1]]",1.0
raXP_036081259_1,0.2459808033604945,1,"[[0.2389478237572394, 1]]",1.0
rfXP_032966295_1,0.3201796581063907,1,"[[0.2990560129552937, 1]]",1.0
sbXP_066130079_1,0.3356492522230724,1,"[[0.3208521453843761, 1]]",1.0
