,Baseline MG94xREV omega ratio,Rate classes,Rate distributions,Corrected P-value
AjPh,0.490839411725372,1,"[[0.4791646152484483, 1]]",1
EpPi,0.07224334852144228,1,"[[0.07040997138601669, 1]]",1
Myodm,0.0,1,"[[0, 1]]",1
Myotis,0.1244167550795851,1,"[[0.1202486966980786, 1]]",1
Phyllostomidae,0.0713491763661786,1,"[[0.06867232706109004, 1]]",1
Phyllostomus,0.8629671587696428,1,"[[0.8378323099976009, 1]]",1
Pteropodidae,0.04853859673067673,1,"[[0.04691386336956564, 1]]",1
Pteropus,0.2609971628413999,1,"[[0.2552060076025486, 1]]",1
Vespertilionidae,1.773251861270142,1,"[[1.773386731586877, 1]]",1
Yangochiroptera,1.844547263316127,1,"[[1.418721146555494, 1]]",1
YangochiropteraAfterSaccopteryx,0.0,1,"[[0, 1]]",1
ajXP_037019156_1,0.0,1,"[[0, 1]]",1
drXP_024430551_1,0.0,1,"[[0, 1]]",1
mbXP_014385763_1,0.0,1,"[[0, 1]]",1
mdXP_059521457_1,0.0,1,"[[0, 1]]",1
mlXP_014307571_1,0.0,1,"[[0, 1]]",1
mmXP_036195554_1,0.4529967902990598,1,"[[0.4369896436561969, 1]]",1
moXP_036116129_1,0.1573692526376944,1,"[[0.1526585587339058, 1]]",1
paXP_006910792_1,1.0,1,"[[1, 1]]",1
pdXP_035882366_1,1.0,1,"[[1, 1]]",1
pgXP_039701645_1,0.0,1,"[[0, 1]]",1
phXP_045676240_1,1.0,1,"[[1, 1]]",1
pkXP_036267349_1,0.0,1,"[[0, 1]]",1
pnCAK6432973_1,0.0,1,"[[0, 1]]",1
pvXP_011354591_1,0.0,1,"[[0, 1]]",1
raXP_016016562_2,0.1842803493185021,1,"[[0.1758635822565297, 1]]",1
rfXP_032961694_1,0.1838267773200867,1,"[[0.178833280747429, 1]]",1
sbXP_066135802_1,0.1457966828357242,1,"[[0.1414163127267566, 1]]",1
