qseqid	sseqid	pident	length	mismatch	gapopen	qstart	qend	sstart	send	evalue	bitscore
EAW70196.1	rfXP_032967603.1	0.797	291	58	0	1	291	1	288	6.745e-144	456
NP_001153583.1	rfXP_032954996.1	0.952	584	28	0	1	584	1	581	0.0	1164
NP_001177793.1	rfXP_032974452.1	0.886	123	14	0	60	182	1	123	4.016e-70	238
NP_001179.1	rfXP_032959238.1	0.872	211	27	0	1	211	1	211	6.062e-119	380
NP_001184044.1	rfXP_032952995.1	0.959	599	25	0	1	599	1	599	0.0	1200
NP_001186768.2	rfXP_032965006.1	0.994	193	1	0	1	193	1	193	2.213e-124	394
NP_001188.1	rfXP_032973923.1	0.51	88	42	0	57	142	55	142	2.781e-12	69
NP_001274364.1	rfXP_032984480.1	0.944	344	19	0	1	344	15	354	2.39e-199	619
NP_001275684.1	rfXP_032946005.1	0.989	597	7	0	1	597	35	631	0.0	1230
NP_001278360.1	rfXP_032983483.1	0.973	114	3	0	1	114	43	156	6.418e-71	236
NP_001289201.1	rfXP_032987136.1	0.881	185	22	0	1	184	1	185	6.782e-100	324
NP_001304107.1	rfXP_032955139.1	0.886	123	14	0	1	123	1	121	1.81e-55	193
NP_001308657.1	rfXP_032980946.1	0.818	458	77	0	1	426	1	458	1.925e-226	702
NP_001308926.1	rfXP_032956759.1	0.889	218	24	0	47	264	350	567	5.306999999999999e-125	400
NP_001309749.1	rfXP_032958685.1	0.92	176	14	0	1	176	47	222	3.616e-111	355
NP_001310513.1	rfXP_032987089.1	0.906	655	61	0	1	655	133	787	0.0	1221
NP_001317309.1	rfXP_032972294.1	0.991	712	6	0	1	712	1	712	0.0	1396
NP_001339859.1	rfXP_032980135.1	0.982	838	15	0	1	838	227	1063	0.0	1565
NP_001341754.1	rfXP_032962155.1	0.966	781	27	0	23	803	6	786	0.0	1471
NP_001352690.1	rfXP_032989728.1	0.834	109	18	0	32	140	10	118	6.403e-54	188
NP_001361015.1	rfXP_032967775.1	0.932	251	17	0	1	251	168	418	4.848e-156	489
NP_001362219.1	rfXP_032961694.1	0.923	39	3	0	54	92	102	140	7.228e-16	76
NP_001363732.1	rfXP_032971820.1	0.881	203	24	0	108	310	1	203	1.1109999999999999e-114	373
NP_001364194.1	rfXP_032945189.1	0.944	305	17	0	531	833	83	387	3.3700000000000002e-168	554
NP_001364230.1	rfXP_032948106.1	0.877	457	56	0	1	457	48	503	1.636e-274	843
NP_001365933.1	rfXP_032965941.1	0.971	557	16	0	1	557	1	557	0.0	1119
NP_001372664.1	rfXP_032953043.1	0.6	313	88	0	1	222	1	313	6.316e-107	346
NP_001387053.1	rfXP_032980988.1	0.932	460	31	0	5	464	221	680	1.4099999999999999e-266	820
NP_001397864.1	rfXP_032986715.1	0.967	93	3	0	1	93	1	93	1.307e-58	199
NP_004322.1	rfXP_032990674.1	0.978	185	4	0	35	219	44	228	4.9669999999999996e-113	363
NP_004620.1	rfXP_032978290.1	0.81	627	118	0	1	622	1	627	5.141e-318	978
NP_054765.1	rfXP_032958499.1	0.807	260	50	0	1	258	1	260	5.9080000000000004e-142	449
NP_056195.3	rfXP_032973329.1	0.963	469	17	0	1	469	1	469	4.032e-313	955
NP_057155.1	rfXP_032955160.1	0.858	106	15	0	1	106	1	106	2.121e-49	173
NP_060762.3	rfXP_032958904.1	0.916	528	44	0	1	528	35	561	5e-324	990
NP_061764.2	rfXP_032960682.1	0.814	286	53	0	1	284	1	286	1.943e-153	484
NP_115682.1	rfXP_032990344.1	0.9	221	22	0	1	221	1	221	1.663e-127	405
NP_116205.3	rfXP_032984822.1	0.755	781	191	0	1	781	1	779	0.0	1072
NP_116784.1	rfXP_032975623.1	0.798	168	33	0	1	168	1	163	2.0550000000000002e-72	243
NP_203526.1	rfXP_032985136.1	0.86	122	17	0	17	138	21	142	6.833e-66	223
NP_852090.1	rfXP_032979832.1	0.703	162	47	0	1	160	1	162	3.1229999999999996e-60	210
O00411.2	rfXP_032989758.1	0.702	1230	364	0	1	1230	1	1221	0.0	1693
O60220.1	rfXP_032966004.1	0.989	97	1	0	1	97	1	97	1.486e-57	196
O60296.2	rfXP_032967760.1	0.887	915	103	0	1	914	1	915	0.0	1560
O75431.1	rfXP_032968756.1	0.988	263	3	0	1	263	1	263	6.244e-173	539
O96008.1	rfXP_032983902.1	0.963	361	13	0	1	361	1	361	5.684e-229	706
P14406.1	rfXP_032959283.1	0.843	83	13	0	1	83	1	83	2.215e-37	138
P20336.1	rfXP_032990338.1	0.99	220	2	0	1	220	1	220	2.057e-143	451
P42765.2	rfXP_032943685.1	0.896	396	41	0	1	396	1	396	3.176e-235	726
P48507.1	rfXP_032970850.1	0.963	274	10	0	1	274	1	274	1.0769999999999999e-169	530
P49406.2	rfXP_032981246.1	0.863	292	40	0	1	292	1	292	2.959e-161	507
P52815.2	rfXP_032944932.1	0.888	198	22	0	1	198	1	198	1.921e-100	326
P56181.2	rfXP_032990117.1	0.72	111	29	0	3	108	2	112	2.153e-41	151
P82663.1	rfXP_032988015.1	0.918	171	14	0	1	171	1	171	2.029e-103	333
Q12887.3	rfXP_032946585.1	0.882	416	49	0	29	443	1	416	4.102e-245	757
Q13084.4	rfXP_032957302.1	0.87	255	33	0	1	255	1	255	4.51e-150	472
Q13405.1	rfXP_032975975.1	0.849	166	25	0	1	166	1	166	7.126999999999999e-93	302
Q13794.1	rfXP_032943375.1	0.888	54	6	0	1	54	1	54	2.0219999999999998e-23	96
Q14296.1	rfXP_032954616.1	0.945	549	30	0	1	549	1	549	0.0	1065
Q15070.4	rfXP_032965356.1	0.807	436	84	0	1	435	1	436	1.0839999999999999e-232	721
Q15388.1	rfXP_032955366.1	1.0	145	0	0	1	145	1	145	2.3420000000000002e-85	279
Q8IXM3.1	rfXP_032979042.1	0.788	137	28	0	1	137	1	135	2.63e-63	215
Q8TCC3.1	rfXP_032981482.1	0.884	156	18	0	1	156	1	156	1.649e-90	295
Q8WV93.2	rfXP_032957509.1	0.914	480	41	0	1	480	1	479	9.224e-290	888
Q96EL2.1	rfXP_032944032.1	0.856	167	24	0	1	167	1	167	1.025e-92	302
Q96GC5.2	rfXP_032977595.1	0.881	211	25	0	1	211	1	211	1.8540000000000002e-116	373
Q99689.1	rfXP_032954214.1	0.964	392	14	0	1	392	1	392	1.1049999999999999e-233	721
Q9BQ48.1	rfXP_032989423.1	0.823	85	15	0	8	92	11	95	2.368e-40	147
Q9BYD1.1	rfXP_032981769.1	0.926	178	13	0	1	178	1	178	9.021e-113	360
Q9NQ50.1	rfXP_032953002.1	0.827	162	28	0	45	206	1	162	1.3120000000000001e-79	266
Q9NZE8.3	rfXP_032980992.1	0.835	188	31	0	1	188	1	188	3.206e-97	316
Q9UDX5.1	rfXP_032953202.1	0.915	166	14	0	1	166	1	166	3.661e-96	312
Q9UH62.1	rfXP_032959857.1	0.952	379	18	0	1	379	1	379	4.4160000000000004e-234	722
Q9UQM7.2	rfXP_032952119.1	0.997	478	1	0	1	478	1	478	0.0	991
Q9Y2Z2.2	rfXP_032958338.1	0.875	641	77	0	1	641	1	616	0.0	1137
Q9Y5Z4.1	rfXP_032953568.1	0.873	205	26	0	1	205	1	205	1.378e-113	364
Q9Y6G3.1	rfXP_032973940.1	0.845	142	22	0	1	142	1	142	4.1200000000000004e-79	261
XP_054208573.1	rfXP_032966295.1	0.828	859	147	0	1	858	1	859	0.0	1504
XP_054220447.1	rfXP_032987073.1	0.907	163	15	0	1	163	1	162	3.532e-95	311
EAW70196.1	drXP_024419726.2	0.78	292	64	0	1	291	1	292	1.3239999999999999e-137	438
NP_001153583.1	drXP_024420253.2	0.938	585	36	0	1	584	1	585	0.0	1142
NP_001177793.1	drXP_045039974.1	0.894	123	13	0	60	182	1	123	4.999e-69	235
NP_001179.1	drXP_024413611.2	0.862	211	29	0	1	211	1	211	8.564e-116	371
NP_001184044.1	drXP_024413820.2	0.899	637	60	0	1	599	1	637	0.0	1179
NP_001186768.2	drXP_024412574.1	0.994	193	1	0	1	193	1	193	2.213e-124	394
NP_001188.1	drXP_045043187.1	0.392	156	85	0	1	156	1	141	2.037e-12	70
NP_001274364.1	drXP_024433325.2	0.915	344	29	0	1	344	15	353	1.503e-191	597
NP_001275684.1	drXP_024420423.2	0.986	597	8	0	1	597	35	631	0.0	1230
NP_001278360.1	drXP_045056372.1	0.982	114	2	0	1	114	1	114	2.487e-71	237
NP_001289201.1	drXP_024411127.2	0.881	185	22	0	1	184	1	185	6.168e-99	321
NP_001304107.1	drXP_045047027.1	0.904	126	12	0	1	126	1	126	3.145e-61	209
NP_001308657.1	drXP_024414344.2	0.812	458	80	0	1	426	1	458	4.0639999999999996e-224	696
NP_001308926.1	drXP_045040838.2	0.862	218	30	0	47	264	134	351	6.754000000000001e-121	389
NP_001309749.1	drXP_053770007.1	0.909	176	16	0	1	176	47	222	7.032e-108	346
NP_001310513.1	drXP_024417051.2	0.893	655	70	0	1	655	133	786	0.0	1199
NP_001317309.1	drXP_024431244.1	0.995	712	4	0	1	712	1	712	0.0	1399
NP_001339859.1	drXP_024408260.1	0.978	838	18	0	1	838	227	1064	0.0	1564
NP_001341754.1	drXP_024429715.1	0.962	781	30	0	23	803	16	796	0.0	1462
NP_001352690.1	drXP_024424753.1	0.844	109	17	0	32	140	10	118	1.32e-54	190
NP_001361015.1	drXP_045054127.1	0.94	251	15	0	1	251	168	418	1.6629999999999998e-158	496
NP_001362219.1	drXP_024430551.1	0.897	39	4	0	54	92	102	140	4.844e-15	74
NP_001363732.1	drXP_045055492.2	0.864	310	42	0	1	310	1	310	1.8320000000000001e-180	563
NP_001364194.1	drXP_053766343.1	0.951	308	15	0	528	833	81	388	1.7149999999999998e-170	561
NP_001364230.1	drXP_053771619.1	0.927	457	33	0	1	457	1	457	2.64e-295	903
NP_001365933.1	drXP_024419349.1	0.982	557	10	0	1	557	1	557	0.0	1132
NP_001372664.1	drXP_024422916.3	0.623	313	83	0	1	222	21	333	6.575e-114	366
NP_001387053.1	drXP_024414288.1	0.928	460	33	0	5	464	221	680	4.503e-265	816
NP_001397864.1	drXP_024416795.1	0.892	93	10	0	1	93	1	93	5.574999999999999e-53	183
NP_004322.1	drXP_053766978.1	0.966	179	6	0	41	219	1	179	8.973e-106	342
NP_004620.1	drXP_045051104.2	0.804	546	106	0	6	546	5	550	8.434e-270	839
NP_054765.1	drXP_024413783.2	0.853	239	35	0	1	239	1	239	2.595e-140	444
NP_056195.3	drXP_045042827.2	0.948	469	24	0	1	469	1	469	8.538e-311	948
NP_057155.1	drXP_024410819.1	0.83	106	18	0	1	106	1	106	4.581e-47	167
NP_060762.3	drXP_024407546.1	0.924	528	40	0	1	528	1	527	0.0	996
NP_061764.2	drXP_024434481.1	0.808	282	53	0	1	282	1	277	2.416e-152	481
NP_115682.1	drXP_024424814.2	0.904	221	21	0	1	221	1	221	2.758e-129	410
NP_116205.3	drXP_053770478.1	0.753	745	184	0	1	744	1	745	0.0	1030
NP_116784.1	drXP_045039185.1	0.798	168	34	0	1	168	1	168	2.724e-75	252
NP_203526.1	drXP_024433406.1	0.855	138	20	0	1	138	1	138	4.036e-74	246
NP_852090.1	drXP_053779923.1	0.714	161	45	0	1	160	1	161	1.8339999999999998e-61	213
O00411.2	drXP_024424804.2	0.696	1230	371	0	1	1230	1	1222	0.0	1691
O60220.1	drXP_024434508.1	0.989	97	1	0	1	97	1	97	1.486e-57	196
O60296.2	drXP_024419616.2	0.893	919	98	0	1	914	1	919	0.0	1569
O75431.1	drXP_045052203.1	0.981	211	4	0	50	260	1	211	2.695e-138	439
O96008.1	drXP_024425295.2	0.963	361	13	0	1	361	1	361	8.583e-230	708
P14406.1	drXP_024432385.1	0.865	82	11	0	1	82	1	82	1.398e-39	144
P20336.1	drXP_053771008.1	0.804	199	39	0	22	220	1	198	7.755e-104	337
P42765.2	drXP_024436328.2	0.901	397	39	0	1	397	1	397	4.256e-238	734
P48507.1	drXP_024421303.1	0.952	274	13	0	1	274	1	274	8.885e-168	524
P49406.2	drXP_024414295.2	0.828	292	50	0	1	292	1	292	4.691e-156	492
P52815.2	drXP_024409693.2	0.849	199	30	0	1	198	1	199	7.205e-94	307
P56181.2	drXP_024417714.1	0.765	111	25	0	1	108	1	111	2.572e-43	156
P82663.1	drXP_024412189.1	0.913	173	15	0	1	173	1	173	8.649e-105	337
Q12887.3	drXP_024420410.1	0.856	438	63	0	1	438	1	438	3.942e-251	775
Q13084.4	drXP_024409173.1	0.878	255	31	0	1	255	1	255	1.278e-150	474
Q13405.1	drXP_024429971.2	0.879	166	20	0	1	166	1	166	1.249e-98	319
