qseqid	sseqid	pident	length	mismatch	gapopen	qstart	qend	sstart	send	evalue	bitscore
NP_000079.2	rfXP_032946680.1	0.879	1464	177	0	1	1464	1	1460	0.0	2675
NP_000080.2	rfXP_032944414.1	0.851	1366	203	0	1	1366	4	1369	0.0	2402
NP_000081.1	rfXP_032968465.1	0.83	1466	249	0	1	1466	1	1463	0.0	2507
NP_000082.2	rfXP_032967926.1	0.791	1671	349	0	1	1670	1	1671	0.0	2699
NP_000083.3	rfXP_032967925.1	0.783	1684	365	0	6	1688	3	1686	0.0	2689
NP_000084.3	rfXP_032978214.1	0.899	1842	186	0	1	1838	1	1842	0.0	3452
NP_000085.1	rfXP_032988980.1	0.805	2943	570	0	1	2943	1	2923	0.0	4852
NP_000384.2	rfXP_032968394.1	0.894	1513	159	0	1	1499	1	1513	0.0	2815
NP_000484.2	rfXP_032958570.1	0.843	680	107	0	1	680	1	680	0.0	1185
NP_000485.3	rfXP_032987141.1	0.723	1497	400	0	1	1497	1	1446	0.0	2178
NP_000486.1	rfXP_032968803.1	0.861	1685	234	0	1	1685	1	1684	0.0	3006
NP_001032852.2	rfXP_032944783.1	0.811	1149	212	0	1	1125	1	1149	0.0	1913
NP_001096078.1	rfXP_032987662.1	0.799	2262	454	0	2	2263	1	2262	0.0	3699
NP_001123575.1	rfXP_032986764.1	0.782	584	127	0	136	717	5	588	6.831000000000001e-301	934
NP_001157243.1	rfXP_032958547.1	0.839	272	44	0	1	272	1	272	1.201e-149	473
NP_001177638.1	rfXP_032948924.1	0.914	1767	152	0	1	1767	1	1767	0.0	3375
NP_001243003.1	rfXP_032962209.1	0.861	626	86	0	1	618	1	626	0.0	1118
NP_001265227.1	rfXP_032987384.1	0.768	2613	606	0	1	2612	1	2613	0.0	4080
NP_001265492.1	rfXP_032965700.1	0.869	441	57	0	1	441	1	438	1.124e-258	796
NP_001274688.1	rfXP_032962397.1	0.767	1709	388	0	1	1666	1	1709	0.0	2663
NP_001274689.1	rfXP_032962397.1	0.746	1709	415	0	1	1633	1	1709	0.0	2580
NP_001835.3	rfXP_032974167.1	0.899	1487	150	0	1	1487	1	1487	0.0	2785
NP_001836.2	rfXP_032961047.1	0.874	1669	210	0	1	1669	1	1669	0.0	3027
NP_001837.2	rfXP_032961045.1	0.824	1712	301	0	1	1712	1	1711	0.0	2902
NP_001838.2	rfXP_032962397.1	0.779	1703	372	0	8	1691	7	1709	0.0	2705
NP_001839.2	rfXP_032982119.1	0.874	1028	129	0	1	1028	1	1027	0.0	1865
NP_001840.3	rfXP_032986514.1	0.872	1019	130	0	1	1019	1	1018	0.0	1845
NP_001841.2	rfXP_032943959.1	0.889	744	82	0	1	744	1	743	0.0	1377
NP_001842.3	rfXP_032959383.1	0.852	919	136	0	1	919	1	919	0.0	1620
NP_001843.1	rfXP_032971591.1	0.813	687	128	0	3	689	2	688	0.0	1148
NP_001844.3	rfXP_032950183.1	0.809	679	129	0	8	684	4	682	0.0	1129
NP_001845.3	rfXP_032948923.1	0.912	1806	159	0	1	1806	1	1806	0.0	3441
NP_001846.3	rfXP_032980038.1	0.763	1388	321	0	1	1388	1	1355	0.0	2152
NP_001847.3	rfXP_032971666.1	0.849	1625	242	0	1	1604	1	1625	0.0	2851
NP_001849.2	rfXP_032958565.1	0.837	1138	184	0	4	1141	4	1135	0.0	1966
NP_004360.2	rfXP_032968079.1	0.809	2941	560	0	237	3177	30	2960	0.0	4878
NP_004361.3	rfXP_032955932.1	0.912	3062	269	0	1	3060	1	3062	0.0	5828
NP_005193.1	rfXP_032971736.1	0.885	704	81	0	3	703	3	706	0.0	1298
NP_056534.2	rfXP_032990934.1	0.819	1741	315	0	7	1745	1	1741	0.0	2929
NP_065084.2	rfXP_032943959.1	0.889	744	82	0	1	744	1	743	0.0	1377
NP_065933.2	rfXP_032950945.1	0.734	1317	332	0	28	1275	18	1334	0.0	1951
NP_066933.1	rfXP_032982809.1	0.892	1796	194	0	1	1796	1	1793	0.0	3335
NP_085059.2	rfXP_032982342.1	0.693	1510	452	0	6	1515	27	1499	0.0	2090
NP_110447.2	rfXP_032949571.1	0.879	958	116	0	1	957	1	958	0.0	1750
NP_115907.2	rfXP_032962209.1	0.774	626	139	0	1	615	1	626	3.66e-321	988
NP_116277.2	rfXP_032978530.1	0.816	1860	339	0	1	1860	1	1845	0.0	3118
NP_149162.2	rfXP_032974168.1	0.895	1418	149	0	1	1418	1	1418	0.0	2643
NP_203699.1	rfXP_032968793.1	0.862	1691	233	0	1	1691	1	1690	0.0	3018
NP_378667.1	rfXP_032962397.1	0.779	1709	373	0	1	1690	1	1709	0.0	2714
NP_476505.3	rfXP_032968079.1	0.792	1000	208	0	31	1030	231	1230	0.0	1621
NP_476506.3	rfXP_032968079.1	0.797	1231	249	0	1	1231	1	1230	0.0	2008
NP_476507.3	rfXP_032968079.1	0.743	2730	653	0	31	2570	231	2960	0.0	4098
NP_476508.2	rfXP_032968079.1	0.809	2971	565	0	1	2971	1	2960	0.0	4924
NP_478054.2	rfXP_032986524.1	0.881	918	109	0	1	918	1	917	0.0	1683
NP_478055.2	rfXP_032986514.1	0.884	822	95	0	1	822	1	821	0.0	1512
NP_511040.2	rfXP_032959382.1	0.829	678	115	0	1	676	1	678	0.0	1158
NP_542196.2	rfXP_032948922.1	0.909	1818	165	0	1	1818	1	1818	0.0	3448
NP_542197.3	rfXP_032948926.1	0.892	1721	182	0	1	1690	1	1721	0.0	3198
NP_542376.2	rfXP_032955932.1	0.911	1878	167	0	21	1896	1185	3062	0.0	3570
NP_542410.2	rfXP_032958548.1	0.889	1629	181	0	1	1629	1	1629	0.0	3012
NP_542411.2	rfXP_032958540.1	0.888	1736	194	0	1	1736	1	1736	0.0	3206
NP_542412.2	rfXP_032958547.1	0.886	1650	188	0	1	1650	1	1650	0.0	3040
NP_542988.3	rfXP_032986764.1	0.775	562	118	0	120	645	27	588	5.838e-287	889
NP_542990.3	rfXP_032986764.1	0.799	584	111	0	136	686	5	588	1.574e-309	957
NP_542991.3	rfXP_032986764.1	0.755	584	137	0	136	695	5	588	3.3360000000000005e-288	896
NP_542992.3	rfXP_032986764.1	0.744	584	136	0	136	668	5	588	2.188e-283	880
NP_542995.3	rfXP_032986764.1	0.69	560	148	0	131	610	29	588	2.3740000000000003e-247	773
NP_569712.2	rfXP_032982342.1	0.718	1333	364	0	3	1335	207	1499	0.0	1923
NP_597714.2	rfXP_032965701.1	0.868	439	57	0	1	439	1	436	3.276e-257	792
NP_690848.1	rfXP_032982835.1	0.811	1623	301	0	4	1626	21	1616	0.0	2701
NP_690850.2	rfXP_032969176.1	0.816	1714	314	0	1	1714	1	1705	0.0	2874
NP_694996.5	rfXP_032987384.1	0.773	2526	573	0	1	2525	1	2526	0.0	3972
NP_775736.2	rfXP_032952659.1	0.81	521	97	0	20	540	20	531	1.323e-281	868
NP_942014.1	rfXP_032962209.1	0.768	668	151	0	1	654	1	668	0.0	1044
XP_005246122.1	rfXP_032968079.1	0.749	2931	688	0	237	2977	30	2960	0.0	4440
XP_005246338.1	rfXP_032967925.1	0.783	1684	365	0	6	1688	3	1686	0.0	2689
XP_005247178.1	rfXP_032987662.1	0.799	2262	454	0	2	2263	1	2262	0.0	3699
XP_005250867.1	rfXP_032982835.1	0.823	1603	282	0	4	1606	21	1616	0.0	2711
XP_005251116.1	rfXP_032982810.1	0.892	1780	192	0	1	1780	1	1777	0.0	3306
XP_005270535.1	rfXP_032971736.1	0.885	704	81	0	3	703	3	706	0.0	1298
XP_005270536.1	rfXP_032971739.1	0.897	638	66	0	1	638	1	638	0.0	1194
XP_006710428.1	rfXP_032971591.1	0.813	687	128	0	3	689	2	688	0.0	1148
XP_006715395.1	rfXP_032958570.1	0.843	680	107	0	1	680	1	680	0.0	1185
XP_006715396.1	rfXP_032958570.1	0.843	680	107	0	1	680	1	680	0.0	1185
XP_006716576.1	rfXP_032982835.1	0.669	1596	435	0	4	1319	21	1616	0.0	2117
XP_006716714.1	rfXP_032982809.1	0.892	1796	194	0	1	1796	1	1793	0.0	3335
XP_006724679.1	rfXP_032968793.1	0.862	1691	233	0	1	1691	1	1690	0.0	3018
NP_000079.2	drXP_045038435.2	0.872	1464	187	0	1	1464	1	1459	0.0	2649
NP_000080.2	drXP_053782700.1	0.841	1368	217	0	1	1366	1	1368	0.0	2374
NP_000081.1	drXP_024419904.1	0.814	1467	272	0	1	1466	1	1467	0.0	2451
NP_000082.2	drXP_024419626.2	0.772	1674	380	0	1	1669	1	1674	0.0	2631
NP_000083.3	drXP_053775118.1	0.756	1684	410	0	8	1690	3	1686	0.0	2580
NP_000084.3	drXP_053775060.1	0.887	1846	208	0	1	1838	1	1846	0.0	3405
NP_000085.1	drXP_053785887.1	0.793	2931	606	0	1	2931	1	2929	0.0	4747
NP_000384.2	drXP_024419757.2	0.906	1499	141	0	1	1499	1	1499	0.0	2833
NP_000484.2	drXP_045044630.2	0.846	679	103	0	2	680	1	673	0.0	1188
NP_000485.3	drXP_024411423.2	0.729	1497	392	0	1	1497	1	1449	0.0	2200
NP_000486.1	drXP_024407383.2	0.86	1684	236	0	2	1685	4	1687	0.0	2999
NP_001032852.2	drXP_024432934.2	0.811	1138	212	0	1	1125	1	1138	0.0	1893
NP_001096078.1	drXP_024421677.2	0.817	2262	414	0	2	2263	3	2264	0.0	3797
NP_001123575.1	drXP_053779412.1	0.663	615	191	0	103	717	27	593	1.595e-257	808
NP_001157243.1	drXP_024413489.2	0.851	267	40	0	1	267	1	267	2.256e-149	472
NP_001177638.1	drXP_024425845.2	0.899	1767	178	0	1	1767	8	1773	0.0	3312
NP_001243003.1	drXP_045041661.1	0.366	582	293	0	37	618	39	501	6.744999999999999e-103	355
NP_001265227.1	drXP_053786320.1	0.745	2611	664	0	1	2611	1	2605	0.0	3934
NP_001265492.1	drXP_053786399.1	0.852	441	65	0	1	441	1	437	8.547e-253	779
NP_001274688.1	drXP_024407405.2	0.695	1654	494	0	45	1666	6	1659	0.0	2295
NP_001274689.1	drXP_024407405.2	0.675	1654	516	0	45	1633	6	1659	0.0	2217
NP_001835.3	drXP_024431366.1	0.905	1487	141	0	1	1487	1	1487	0.0	2806
NP_001836.2	drXP_053772292.1	0.851	1670	249	0	1	1669	1	1670	0.0	2938
NP_001837.2	drXP_045042595.2	0.804	1712	335	0	1	1712	1	1711	0.0	2819
NP_001838.2	drXP_024407405.2	0.709	1654	479	0	46	1691	6	1659	0.0	2351
NP_001839.2	drXP_053773797.1	0.879	1028	124	0	1	1028	1	1027	0.0	1879
NP_001840.3	drXP_024418278.1	0.859	1019	143	0	1	1019	1	1018	0.0	1813
NP_001841.2	drXP_024413955.2	0.888	744	83	0	1	744	1	743	0.0	1377
NP_001842.3	drXP_024432393.2	0.871	920	118	0	1	919	1	920	0.0	1663
NP_001843.1	drXP_053777311.1	0.846	687	106	0	3	689	2	688	0.0	1201
NP_001844.3	drXP_053782154.1	0.81	680	128	0	8	684	4	683	0.0	1131
NP_001845.3	drXP_024425844.2	0.898	1806	184	0	1	1806	8	1812	0.0	3378
NP_001846.3	drXP_053778267.1	0.736	1388	364	0	1	1388	1	1380	0.0	2063
NP_001847.3	drXP_045046700.2	0.835	1625	264	0	1	1604	1	1625	0.0	2796
NP_001849.2	drXP_045040812.2	0.821	1138	199	0	4	1141	53	1167	0.0	1922
NP_004360.2	drXP_024419969.2	0.786	3177	676	0	1	3177	1	3159	0.0	5094
NP_004361.3	drXP_053769944.1	0.909	3065	279	0	1	3063	1	3065	0.0	5816
NP_005193.1	drXP_053776909.1	0.9	692	69	0	12	703	23	714	0.0	1299
NP_056534.2	drXP_045048476.2	0.821	1748	312	0	1	1745	1	1748	0.0	2949
NP_065084.2	drXP_024413955.2	0.888	744	83	0	1	744	1	743	0.0	1377
NP_065933.2	drXP_053783376.1	0.695	1316	385	0	8	1270	47	1362	0.0	1826
NP_066933.1	drXP_024428114.2	0.885	1796	206	0	1	1796	1	1795	0.0	3303
NP_085059.2	drXP_024418180.2	0.692	1515	466	0	1	1515	1	1513	0.0	2093
NP_110447.2	drXP_053770284.1	0.863	967	131	0	1	957	1	967	0.0	1731
NP_115907.2	drXP_053779442.1	0.783	213	43	0	236	448	22	219	6.449e-99	343
NP_116277.2	drXP_053777376.1	0.806	1860	357	0	1	1860	1	1842	0.0	3072
NP_149162.2	drXP_024431366.1	0.854	1487	207	0	1	1418	1	1487	0.0	2629
NP_203699.1	drXP_024407383.2	0.856	1690	242	0	2	1691	4	1687	0.0	2993
NP_378667.1	drXP_024407405.2	0.709	1654	479	0	45	1690	6	1659	0.0	2351
NP_476505.3	drXP_024419969.2	0.77	1000	229	0	31	1030	437	1434	0.0	1567
NP_476506.3	drXP_024419969.2	0.773	1209	274	0	23	1231	228	1434	0.0	1903
NP_476507.3	drXP_024419969.2	0.72	2723	711	0	31	2570	437	3159	0.0	3942
NP_476508.2	drXP_024419969.2	0.782	2949	639	0	23	2971	228	3159	0.0	4701
NP_478054.2	drXP_045052603.1	0.866	918	123	0	1	918	1	917	0.0	1648
NP_478055.2	drXP_024418278.1	0.865	822	111	0	1	822	1	821	0.0	1476
NP_511040.2	drXP_024432394.2	0.859	678	95	0	1	676	1	678	0.0	1207
NP_542196.2	drXP_024425843.2	0.893	1818	194	0	1	1818	8	1824	0.0	3381
NP_542197.3	drXP_024425844.2	0.839	1805	272	0	1	1690	8	1812	0.0	3123
NP_542376.2	drXP_053769944.1	0.913	1881	163	0	21	1899	1185	3065	0.0	3586
NP_542410.2	drXP_024413489.2	0.888	1629	182	0	1	1629	1	1629	0.0	3010
NP_542411.2	drXP_024413487.2	0.883	1736	203	0	1	1736	1	1736	0.0	3188
NP_542412.2	drXP_045049284.2	0.873	1655	209	0	1	1650	1	1655	0.0	3000
NP_542988.3	drXP_053779412.1	0.675	526	164	0	120	645	89	593	8.458999999999999e-224	707
NP_542990.3	drXP_053779412.1	0.689	584	176	0	103	686	27	593	1.377e-256	804
NP_542991.3	drXP_053779412.1	0.693	593	174	0	103	695	27	593	1.471e-262	822
NP_542992.3	drXP_053779412.1	0.708	567	165	0	103	668	27	593	9.783000000000001e-258	806
NP_542995.3	drXP_053779412.1	0.672	567	166	0	103	610	27	593	6.8169999999999995e-242	757
NP_569712.2	drXP_053773720.1	0.729	1335	359	0	1	1335	1	1324	0.0	1960
