qseqid	sseqid	pident	length	mismatch	gapopen	qstart	qend	sstart	send	evalue	bitscore
NP_000079.2	rfXP_032946680.1	0.959	1464	60	0	1	1464	1	1460	0.0	2675
NP_000080.2	rfXP_032944414.1	0.92	1366	109	0	1	1366	4	1369	0.0	2402
NP_000081.1	rfXP_032968465.1	0.902	1466	143	0	1	1466	1	1463	0.0	2507
NP_000082.2	rfXP_032967926.1	0.825	1671	292	0	1	1670	1	1671	0.0	2699
NP_000083.3	rfXP_032967925.1	0.823	1684	298	0	6	1688	3	1686	0.0	2689
NP_000084.3	rfXP_032978214.1	0.956	1842	81	0	1	1838	1	1842	0.0	3452
NP_000085.1	rfXP_032988980.1	0.858	2943	415	0	1	2943	1	2923	0.0	4852
NP_000384.2	rfXP_032968394.1	0.953	1513	70	0	1	1499	1	1513	0.0	2815
NP_000484.2	rfXP_032958570.1	0.902	680	67	0	1	680	1	680	0.0	1185
NP_000485.3	rfXP_032987141.1	0.8	1497	289	0	1	1497	1	1446	0.0	2178
NP_000486.1	rfXP_032968803.1	0.927	1685	123	0	1	1685	1	1684	0.0	3006
NP_001032852.2	rfXP_032944783.1	0.847	1149	172	0	1	1125	1	1149	0.0	1913
NP_001096078.1	rfXP_032987662.1	0.82	2262	407	0	2	2263	1	2262	0.0	3699
NP_001123575.1	rfXP_032986764.1	0.822	584	103	0	136	717	5	588	6.4580000000000005e-301	934
NP_001177638.1	rfXP_032948924.1	0.971	1767	51	0	1	1767	1	1767	0.0	3375
NP_001243003.1	rfXP_032962209.1	0.928	626	44	0	1	618	1	626	0.0	1118
NP_001265227.1	rfXP_032987384.1	0.781	2613	572	0	1	2612	1	2613	0.0	4080
NP_001265492.1	rfXP_032965700.1	0.927	441	32	0	1	441	1	438	1.062e-258	796
NP_001274688.1	rfXP_032962397.1	0.809	1709	318	0	1	1666	1	1709	0.0	2663
NP_001274689.1	rfXP_032962397.1	0.79	1709	343	0	1	1633	1	1709	0.0	2580
NP_001835.3	rfXP_032974167.1	0.971	1487	43	0	1	1487	1	1487	0.0	2785
NP_001836.2	rfXP_032961047.1	0.91	1669	150	0	1	1669	1	1669	0.0	3027
NP_001837.2	rfXP_032961045.1	0.853	1712	251	0	1	1712	1	1711	0.0	2902
NP_001838.2	rfXP_032962397.1	0.821	1703	301	0	8	1691	7	1709	0.0	2705
NP_001839.2	rfXP_032982119.1	0.894	1028	109	0	1	1028	1	1027	0.0	1865
NP_001840.3	rfXP_032986524.1	0.918	821	67	0	1	821	1	820	0.0	1512
NP_001841.2	rfXP_032943959.1	0.936	744	47	0	1	744	1	743	0.0	1377
NP_001842.3	rfXP_032959383.1	0.882	919	108	0	1	919	1	919	0.0	1620
NP_001843.1	rfXP_032971591.1	0.877	687	84	0	3	689	2	688	0.0	1148
NP_001844.3	rfXP_032950183.1	0.885	679	78	0	8	684	4	682	0.0	1129
NP_001845.3	rfXP_032948923.1	0.969	1806	56	0	1	1806	1	1806	0.0	3441
NP_001846.3	rfXP_032980038.1	0.804	1388	265	0	1	1388	1	1355	0.0	2152
NP_001847.3	rfXP_032971666.1	0.886	1625	183	0	1	1604	1	1625	0.0	2851
NP_001849.2	rfXP_032958565.1	0.866	1138	152	0	4	1141	4	1135	0.0	1966
NP_004360.2	rfXP_032968079.1	0.837	2941	478	0	237	3177	30	2960	0.0	4878
NP_004361.3	rfXP_032955932.1	0.935	3062	199	0	1	3060	1	3062	0.0	5828
NP_005193.1	rfXP_032971739.1	0.96	638	25	0	66	703	1	638	0.0	1195
NP_056534.2	rfXP_032990934.1	0.874	1741	219	0	7	1745	1	1741	0.0	2929
NP_065084.2	rfXP_032943959.1	0.936	744	47	0	1	744	1	743	0.0	1377
NP_065933.2	rfXP_032950945.1	0.758	1317	302	0	28	1275	18	1334	0.0	1951
NP_066933.1	rfXP_032982809.1	0.916	1796	151	0	1	1796	1	1793	0.0	3335
NP_085059.2	rfXP_032982342.1	0.728	1510	400	0	6	1515	27	1499	0.0	2090
NP_110447.2	rfXP_032949571.1	0.909	958	87	0	1	957	1	958	0.0	1750
NP_115907.2	rfXP_032962209.1	0.818	626	112	0	1	615	1	626	3.46e-321	988
NP_116277.2	rfXP_032978532.1	0.872	1839	233	0	22	1860	20	1844	0.0	3096
NP_149162.2	rfXP_032974168.1	0.973	1418	38	0	1	1418	1	1418	0.0	2643
NP_203699.1	rfXP_032968793.1	0.927	1691	123	0	1	1691	1	1690	0.0	3018
NP_378667.1	rfXP_032962397.1	0.82	1709	304	0	1	1690	1	1709	0.0	2714
