,Baseline MG94xREV omega ratio,Rate classes,Rate distributions,Corrected P-value
AjPh,1.635538734392563,1,"[[1.488574463666452, 1]]",1.0
EpPi,1.0520486635864,1,"[[1.095912928496462, 1]]",1.0
MolossusPhyllostomus,0.0,1,"[[0, 1]]",1.0
Myodm,10000000000.0,1,"[[10000000000, 1]]",1.0
Myotis,0.2909500224066366,1,"[[0.2613511390546627, 1]]",1.0
Phyllostomidae,0.201195542409379,2,"[[0, 0.9735517854073451], [15.02605275721676, 0.0264482145926549]]",1.0
Phyllostomus,0.1677736530047446,1,"[[0.1821558686374384, 1]]",1.0
Pipistrellus,0.3305569553943755,1,"[[0.3147120058337188, 1]]",1.0
Pteropodidae,0.2389863595067589,1,"[[0.2487581518093913, 1]]",1.0
Pteropus,0.1931615981021986,1,"[[0.1613148349628854, 1]]",1.0
Vespertilionidae,0.364781204606812,1,"[[0.3611005578117371, 1]]",1.0
Yangochiroptera,0.589251260258804,2,"[[0, 0.96034366931903], [24.39716078702754, 0.03965633068096996]]",1.0
ajXP_036997486_1,0.2608715919330217,1,"[[0.2182315579868139, 1]]",1.0
drXP_045048624_1,1.000465890327094,1,"[[1.019558052360253, 1]]",1.0
enKAK1328542_1,0.6659724520013803,2,"[[0.3763789557445598, 0.975365321760821], [1842.506266141241, 0.02463467823917898]]",0.04157110326484637
mbXP_005875654_2,10000000000.0,1,"[[10000000000, 1]]",1.0
mdXP_059532923_1,0.2301120189814867,1,"[[0.2239564317890221, 1]]",1.0
mlXP_023604836_1,0.1798158254029358,1,"[[0.1750100424957961, 1]]",1.0
mmXP_036209665_1,0.1495569359185566,1,"[[0.1458310476809207, 1]]",1.0
moXP_036132036_1,0.1924768806047322,1,"[[0.1888355773898914, 1]]",1.0
paXP_015447503_1,1.0,1,"[[1, 1]]",1.0
pdXP_028384167_1,0.3811623043783632,2,"[[0, 0.9824260523685067], [61.76908557164052, 0.01757394763149334]]",1.0
pgXP_039728844_1,0.0,1,"[[0, 1]]",1.0
phXP_045675691_1,1.0,1,"[[1, 1]]",1.0
pkXP_045441460_1,0.5775274321398601,1,"[[0.544255141195354, 1]]",1.0
pnCAK6440273_1,0.3847835210434163,1,"[[0.4002672342095272, 1]]",1.0
pvXP_023390497_1,1.0,1,"[[1, 1]]",1.0
raXP_016022400_2,1.414747530682405,1,"[[1.471713370312763, 1]]",1.0
rfXP_032953002_1,0.2873724173412844,1,"[[0.2767949563689124, 1]]",1.0
sbXP_066115974_1,0.2160184101197895,1,"[[0.2133588864175217, 1]]",1.0
