qseqid	sseqid	pident	length	mismatch	gapopen	qstart	qend	sstart	send	evalue	bitscore
NP_000005.2	XP_036156166.1	69.732	1490	427	5	1	1470	2	1487	0.0	2076.0
NP_000020.1	XP_036211049.1	64.644	478	166	3	10	485	1	477	0.0	619.0
NP_000053.2	XP_036181717.1	67.742	496	131	4	16	500	17	494	0.0	655.0
NP_000079.2	XP_036196892.1	95.287	1464	64	2	1	1464	1	1459	0.0	1735.0
NP_000080.2	XP_036184054.1	92.24	1366	106	0	1	1366	1	1366	0.0	1732.0
NP_000081.1	XP_036175696.1	86.747	664	86	1	1	662	1	664	0.0	656.0
NP_000082.2	XP_036176329.1	82.106	1643	292	2	29	1670	37	1678	0.0	1424.0
NP_000083.3	XP_036176132.1	80.179	1226	242	1	4	1229	1	1225	0.0	1086.0
NP_000084.3	XP_036185062.1	93.821	1845	94	5	1	1838	1	1832	0.0	2248.0
NP_000085.1	XP_036189534.1	82.711	2944	481	14	1	2943	1	2917	0.0	3763.0
NP_000086.2	XP_036167606.1	90.777	759	67	2	1	757	1	758	0.0	1306.0
NP_000090.1	XP_036178541.1	68.595	121	37	1	26	146	27	146	8.05e-62	187.0
NP_000091.1	XP_036207403.1	72.449	98	27	0	1	98	6	103	2.17e-50	155.0
NP_000120.2	XP_036206306.1	85.46	729	106	0	1	729	1	729	0.0	1344.0
NP_000122.1	XP_036157918.1	75.177	423	105	0	44	466	24	446	0.0	683.0
NP_000124.1	XP_036162031.1	85.065	462	68	1	1	461	1	462	0.0	835.0
NP_000129.3	XP_036156646.1	96.412	2871	103	0	1	2871	1	2871	0.0	5602.0
NP_000176.2	XP_036209402.1	82.966	499	75	3	1	499	38	526	0.0	853.0
NP_000184.1	XP_036212115.1	90.337	445	30	2	18	462	21	452	0.0	754.0
NP_000198.1	XP_036171734.1	80.0	110	18	1	1	110	1	106	5.26e-40	129.0
NP_000207.2	XP_036167078.1	74.62	658	164	3	1	657	1	656	0.0	980.0
NP_000218.2	XP_036177608.1	74.696	1727	433	3	1	1724	1	1726	0.0	2649.0
NP_000219.2	XP_036198275.1	85.922	1172	165	0	1	1172	1	1172	0.0	2043.0
NP_000221.1	XP_036182935.1	80.838	167	32	0	1	167	1	167	1.6599999999999997e-95	275.0
NP_000233.1	XP_036193230.1	67.742	248	79	1	1	248	8	254	1.04e-111	322.0
NP_000286.3	XP_036171654.1	71.292	418	112	2	1	418	1	410	0.0	597.0
NP_000292.1	XP_036173790.1	79.73	814	159	2	1	810	1	812	0.0	1336.0
NP_000293.2	XP_036206349.1	93.258	712	48	0	16	727	16	727	0.0	1406.0
NP_000299.2	XP_036177442.1	88.755	498	53	1	1	498	1	495	0.0	911.0
NP_000345.2	XP_036161700.1	83.75	400	62	1	18	414	22	421	0.0	697.0
NP_000349.1	XP_036168668.1	91.252	663	58	0	21	683	21	683	0.0	1268.0
NP_000350.1	XP_036210440.1	88.875	818	86	3	1	817	1	814	0.0	1404.0
NP_000353.1	XP_036153597.1	88.152	211	25	0	1	211	1	211	9.12e-147	407.0
NP_000384.2	XP_036174915.1	95.186	1475	71	0	25	1499	26	1500	0.0	2003.0
NP_000387.1	XP_036198401.1	94.006	317	19	0	13	329	14	330	0.0	631.0
NP_000403.1	XP_036204444.1	46.533	548	175	9	5	525	10	466	2.36e-113	345.0
NP_000417.2	XP_036172309.1	89.593	3123	316	4	1	3121	9	3124	0.0	5824.0
NP_000419.1	XP_036168882.1	85.331	1827	255	5	1	1821	1	1820	0.0	3002.0
NP_000451.1	XP_036208320.1	76.786	336	71	1	17	352	17	345	8.16e-159	449.0
NP_000470.2	XP_036168778.1	69.487	390	106	4	1	379	1	388	1.94e-146	435.0
NP_000479.1	XP_036199403.1	87.716	464	56	1	1	463	1	464	0.0	820.0
NP_000482.3	XP_036207740.1	80.952	252	48	0	2	253	1	252	6.1e-140	394.0
NP_000484.2	XP_036172394.1	91.324	680	59	0	1	680	1	680	0.0	677.0
NP_000485.3	XP_036191961.1	67.859	1565	298	24	1	1497	1	1428	0.0	1349.0
NP_000486.1	XP_036161589.1	92.95	1688	116	1	1	1685	1	1688	0.0	1609.0
NP_000492.2	XP_036165198.1	87.407	135	12	2	124	253	152	286	1.0599999999999999e-34	142.0
NP_000495.1	XP_036156421.1	74.316	475	109	6	21	487	21	490	0.0	723.0
NP_000496.2	XP_036167575.1	66.566	661	173	7	1	615	1	659	0.0	857.0
NP_000497.1	XP_036181906.1	80.032	621	122	2	1	619	1	621	0.0	1046.0
NP_000499.1	XP_036169902.1	58.097	883	209	13	1	866	1	739	0.0	907.0
NP_000500.2	XP_036171017.1	78.719	437	93	0	1	437	1	437	0.0	749.0
NP_000505.1	XP_036166797.1	95.735	211	9	0	1	211	1	211	8.19e-132	370.0
NP_000506.2	XP_036195508.1	59.633	218	85	3	1	217	18	233	2.63e-80	241.0
NP_000533.3	XP_036189764.1	69.482	367	96	4	31	391	18	374	1.6300000000000002e-169	479.0
NP_000538.3	XP_036191352.1	70.102	883	246	8	1	883	72	936	0.0	1239.0
NP_000543.2	XP_036154229.1	86.546	2817	373	3	1	2813	1	2815	0.0	5005.0
NP_000548.2	XP_036178996.1	95.609	501	20	1	1	501	1	499	0.0	976.0
NP_000563.1	XP_036200641.1	82.486	177	31	0	1	177	1	177	8.199999999999999e-108	306.0
NP_000566.3	XP_036167550.1	70.0	270	77	3	1	269	1	267	2.49e-131	374.0
NP_000567.1	XP_036167552.1	66.543	269	87	3	1	268	1	267	1.72e-127	363.0
NP_000568.1	XP_036167564.1	83.544	158	26	0	1	158	1	158	5.5e-101	288.0
NP_000573.1	XP_036195179.1	73.248	314	70	1	1	300	1	314	5.76e-133	380.0
NP_000575.1	XP_036193871.1	69.388	98	30	0	1	98	1	98	8.97e-46	143.0
NP_000576.1	XP_036169804.1	80.247	162	32	0	1	162	1	162	5.99e-83	242.0
