,Baseline MG94xREV omega ratio,Rate classes,Rate distributions,Corrected P-value
AjPh,0.1286113486309848,1,"[[0.1189878567259641, 1]]",1.0
EpPi,0.214538546838937,1,"[[0.1890249882670606, 1]]",1.0
MolossusPhyllostomus,0.6360849982515858,1,"[[0.5463598986610682, 1]]",1.0
Myobl,0.1364931872006053,1,"[[0.1323388071462025, 1]]",1.0
Myodm,1.10823753108786,1,"[[0.9271766178593707, 1]]",1.0
Myotis,0.158221806409627,1,"[[0.1444762107732094, 1]]",1.0
Phyllostomidae,0.3351531055466041,1,"[[0.301838305313125, 1]]",1.0
Phyllostomus,0.0,1,"[[0, 1]]",1.0
Pipistrellus,0.1622122970923334,1,"[[0.1465030499561692, 1]]",1.0
Pteropodidae,0.2325485615527696,1,"[[0.2100542112664761, 1]]",1.0
Pteropus,0.6016689343259631,1,"[[0.5158068289106359, 1]]",1.0
Vespertilionidae,0.1884595570005965,1,"[[0.1704237550696971, 1]]",1.0
Yangochiroptera,0.2677191474603892,1,"[[0.2504226157832614, 1]]",1.0
YangochiropteraAfterSaccopteryx,10000000000.0,1,"[[10000000000, 1]]",1.0
ajXP_037023424_2,0.1295612944837185,1,"[[0.115880451572788, 1]]",1.0
drXP_024419726_2,0.1260135166650712,1,"[[0.1105366041066128, 1]]",1.0
enKAK1336520_1,0.2092433938365542,1,"[[0.1856752931364662, 1]]",1.0
mbXP_005873631_1,0.4163482025225326,1,"[[0.3565362874074539, 1]]",1.0
mdXP_059558664_1,0.4235783396434211,1,"[[0.3815110415048534, 1]]",1.0
mlXP_006082442_1,1.262005593748501,2,"[[0.5012105328536438, 0.9553077603512062], [1116.342887108689, 0.04469223964879376]]",2.102567009387712e-10
mmXP_036174461_1,1.0,1,"[[1, 1]]",1.0
moXP_036110306_1,0.1996255002305725,1,"[[0.1848727693205793, 1]]",1.0
paXP_006921389_1,0.8611542465183651,1,"[[0.7741287035109182, 1]]",1.0
pdXP_028365372_1,0.0,1,"[[0, 1]]",1.0
pgXP_039700286_1,0.0,1,"[[0, 1]]",1.0
phXP_045703543_1,0.0,1,"[[0, 1]]",1.0
pkXP_036276778_1,0.4182318191320448,1,"[[0.3822473068004171, 1]]",1.0
pnCAK6448204_1,0.1405199893079157,1,"[[0.1272716881115083, 1]]",1.0
pvXP_023391721_1,1.0,1,"[[1, 1]]",1.0
raXP_015986601_1,0.2504744158515513,2,"[[0, 0.9596219039275046], [6.729998973666321, 0.04037809607249543]]",1.0
rfXP_032967603_1,0.2575808655960967,2,"[[0.1004706073204247, 0.9814474743155229], [14.57993221101697, 0.01855252568447707]]",1.0
sbXP_066089324_1,0.2635275627545421,1,"[[0.2387022023781523, 1]]",1.0
