,Baseline MG94xREV omega ratio,Rate classes,Rate distributions,Corrected P-value
AjPh,0.05479816470105726,1,"[[0.0544016539178314, 1]]",1.0
EpPi,10000000000.0,1,"[[10000000000, 1]]",1.0
MolossusPhyllostomus,2.23938464653838,1,"[[2.025570222527183, 1]]",1.0
Myobl,0.0,1,"[[0, 1]]",1.0
Myodm,10000000000.0,1,"[[10000000000, 1]]",1.0
Myotis,0.3374012650383373,1,"[[0.3405078364400893, 1]]",1.0
Phyllostomidae,0.1578970119767311,1,"[[0.1523464427024227, 1]]",1.0
Phyllostomus,0.1503088979398693,1,"[[0.1464595309161862, 1]]",1.0
Pipistrellus,0.7897700756937936,1,"[[0.6955271944280575, 1]]",1.0
Pteropodidae,0.2844756393203292,1,"[[0.2715299617920361, 1]]",1.0
Pteropus,0.1498767213260959,1,"[[0.1452037202629247, 1]]",1.0
Pteropusgv,0.0,1,"[[0, 1]]",1.0
Vespertilionidae,0.4996817469059633,1,"[[0.4893381388163489, 1]]",1.0
Yangochiroptera,0.1265163809769662,1,"[[0.1248331491958937, 1]]",1.0
YangochiropteraAfterSaccopteryx,10000000000.0,1,"[[10000000000, 1]]",1.0
ajXP_037004595_2,0.3108746664960328,1,"[[0.3006105484101692, 1]]",1.0
drXP_024428346_2,0.4822590751983558,1,"[[0.4769473228637201, 1]]",1.0
enKAK1336102_1,1.063742288532229,2,"[[0.88088163481416, 0.8596835302385681], [100000, 0.1403164697614319]]",0.0
mbXP_005867152_1,0.0,1,"[[0, 1]]",1.0
mdXP_059564472_1,0.4518020356577468,1,"[[0.4382557223047888, 1]]",1.0
mlXP_006100523_1,10000000000.0,1,"[[10000000000, 1]]",1.0
mmXP_036180917_1,0.3859999306879713,1,"[[0.3722705263614932, 1]]",1.0
moXP_036114287_1,0.2325058605036469,2,"[[0.158290709377067, 0.9938518102163011], [107.4334280694012, 0.00614818978369891]]",0.2650125286479259
paXP_006926663_1,1.0,1,"[[1, 1]]",1.0
pdXP_035885884_1,0.0,1,"[[0, 1]]",1.0
pgXP_039703956_1,1.0,1,"[[1, 1]]",1.0
phXP_045673718_1,10000000000.0,1,"[[10000000000, 1]]",1.0
pkXP_036282555_1,0.0,1,"[[0, 1]]",1.0
pnCAK6448996_1,0.0,1,"[[0, 1]]",1.0
pvXP_011375679_1,0.4548465821849179,1,"[[0.4397210798687083, 1]]",1.0
raXP_016016906_1,0.1735711292054967,1,"[[0.168048823549356, 1]]",1.0
rfXP_032977595_1,0.1899623091737485,1,"[[0.1820646738425785, 1]]",1.0
sbXP_066106295_1,0.3937306922383338,2,"[[0.281266766366045, 0.9762276318816449], [11.14211368255093, 0.02377236811835515]]",1.0
