qseqid	sseqid	pident	length	mismatch	gapopen	qstart	qend	sstart	send	evalue	bitscore
P00558	rfXP_032972050.1	0.98	417	8	0	1	417	1	417	2.6200000000000002e-272	834
P04406	rfXP_032974615.1	0.951	332	16	0	4	335	2	333	5.692e-209	647
P05388	rfXP_032954439.1	0.996	317	1	0	1	317	1	317	1.983e-197	612
P60709	rfXP_032952418.1	1.0	375	0	0	1	375	1	375	3.173e-252	774
P62277	rfXP_032974830.1	1.0	151	0	0	1	151	1	151	1.3529999999999998e-93	303
P00558	drXP_053773022.1	0.985	417	6	0	1	417	1	417	1.3950000000000001e-272	835
P04406	drXP_024435284.1	0.939	332	20	0	4	335	2	333	9.703e-208	643
P05388	drXP_024422812.2	0.99	318	3	0	1	317	1	318	3.069e-195	606
P60709	drXP_024432502.1	1.0	375	0	0	1	375	1	375	3.173e-252	774
P62277	drXP_024414587.1	1.0	151	0	0	1	151	1	151	1.3529999999999998e-93	303
P00558	raXP_015988124.1	0.985	417	6	0	1	417	1	417	2.1069999999999998e-273	837
P04406	raXP_016018329.1	0.957	332	14	0	4	335	2	333	3.6780000000000003e-211	653
P05388	raXP_015982649.1	0.996	317	1	0	1	317	1	317	1.983e-197	612
P60709	raXP_016010695.1	1.0	375	0	0	1	375	1	375	3.173e-252	774
P62277	raXP_015995023.1	1.0	151	0	0	1	151	1	151	1.3529999999999998e-93	303
P00558	pvXP_011383237.1	0.978	417	9	0	1	417	1	417	1.7350000000000002e-271	832
P04406	pvXP_011364174.1	0.96	332	13	0	4	335	2	333	1.429e-211	654
P05388	pvXP_011354164.1	0.996	317	1	0	1	317	1	317	1.983e-197	612
P60709	pvXP_011362131.1	1.0	375	0	0	1	375	1	375	3.173e-252	774
P62277	pvXP_011376511.1	1.0	151	0	0	1	151	1	151	1.3529999999999998e-93	303
P00558	pgXP_039705288.1	0.978	417	9	0	1	417	1	417	1.7350000000000002e-271	832
P04406	pgXP_039730098.1	0.96	332	13	0	4	335	2	333	1.429e-211	654
P05388	pgXP_039724234.1	0.996	317	1	0	1	317	1	317	1.983e-197	612
P60709	pgXP_039734552.1	1.0	375	0	0	1	375	1	375	3.173e-252	774
P62277	pgXP_039707452.1	1.0	151	0	0	1	151	1	151	1.3529999999999998e-93	303
P00558	paXP_006916204.1	0.978	417	9	0	1	417	1	417	1.7350000000000002e-271	832
P04406	paXP_006914684.1	0.96	332	13	0	4	335	2	333	1.429e-211	654
P05388	paXP_006908670.1	0.996	317	1	0	1	317	1	317	1.983e-197	612
P60709	paXP_006906625.1	1.0	375	0	0	1	375	1	375	3.173e-252	774
P62277	paXP_006904799.1	1.0	151	0	0	1	151	1	151	1.3529999999999998e-93	303
P00558	pkXP_036295728.1	0.99	417	4	0	1	417	1	417	1.695e-274	841
P04406	pkXP_036311376.1	0.936	332	21	0	4	335	2	333	1.8220000000000003e-207	642
P05388	pkXP_036305077.1	0.987	317	4	0	1	317	1	316	1.4840000000000002e-194	604
P60709	pkXP_036279354.1	1.0	375	0	0	1	375	1	375	3.173e-252	774
P62277	pkXP_036282226.1	1.0	151	0	0	1	151	1	151	1.3529999999999998e-93	303
P00558	phXP_045703359.1	0.978	417	9	0	1	417	1	417	1.9120000000000002e-272	835
P04406	phXP_045682553.1	0.936	332	21	0	4	335	2	333	1.207e-206	640
P05388	phXP_045698853.1	0.984	318	5	0	1	317	1	318	3.819e-194	603
P60709	phXP_045677214.1	1.0	375	0	0	1	375	1	375	3.173e-252	774
P62277	phXP_045681348.1	1.0	151	0	0	1	151	1	151	1.3529999999999998e-93	303
P00558	pdXP_028378307.1	0.98	417	8	0	1	417	50	466	4.9200000000000005e-272	833
P04406	pdXP_035873248.1	0.939	332	20	0	4	335	2	333	3.4220000000000004e-207	642
P05388	pdXP_028383995.1	0.99	318	3	0	1	317	1	318	2.24e-195	606
P60709	pdXP_028383088.1	1.0	375	0	0	1	375	1	375	3.173e-252	774
P62277	pdXP_028371284.1	1.0	151	0	0	1	151	1	151	1.3529999999999998e-93	303
P00558	mmXP_036160836.1	0.985	417	6	0	1	417	1	417	8.19e-274	839
P04406	mmXP_036152530.1	0.951	332	16	0	4	335	2	333	8.593e-210	649
P05388	mmXP_036209888.1	0.993	317	2	0	1	317	1	317	9.584e-197	610
P60709	mmXP_036171604.1	1.0	375	0	0	1	375	1	375	3.173e-252	774
P62277	mmXP_036181436.1	1.0	151	0	0	1	151	1	151	1.3529999999999998e-93	303
P00558	mlXP_006082889.1	0.988	417	5	0	1	417	1	417	2.323e-274	840
P04406	mlXP_006084210.1	0.951	332	16	0	4	335	2	333	8.593e-210	649
P05388	mlXP_006096614.1	0.993	317	2	0	1	317	1	317	9.584e-197	610
P60709	mlXP_006107764.1	1.0	332	0	0	44	375	1	332	1.035e-221	686
P62277	mlXP_006093890.1	1.0	151	0	0	1	151	1	151	1.3529999999999998e-93	303
P00558	mbXP_005872923.1	0.973	417	11	0	1	417	1	417	2.157e-270	829
P04406	mbXP_005873775.1	0.951	332	16	0	4	335	2	333	8.593e-210	649
P05388	mbXP_005876332.1	0.993	317	2	0	1	317	1	317	9.584e-197	610
P60709	mbXP_005870268.1	0.989	375	4	0	1	375	1	375	2.373e-249	766
P62277	mbXP_005883370.1	0.993	151	1	0	1	151	1	151	4.782e-93	302
P00558	moXP_036126863.1	0.978	417	9	0	1	417	1	417	1.3950000000000001e-272	835
P04406	moXP_036107271.1	0.951	332	16	0	4	335	2	333	8.593e-210	649
P05388	moXP_036132925.1	0.993	317	2	0	1	317	1	317	5.103e-197	611
P60709	moXP_036097233.1	1.0	375	0	0	1	375	1	375	3.173e-252	774
P62277	moXP_036100908.1	1.0	151	0	0	1	151	1	151	1.3529999999999998e-93	303
P00558	mdXP_059534580.1	0.985	417	6	0	1	417	1	417	8.19e-274	839
P04406	mdXP_059538009.1	0.951	332	16	0	4	335	2	333	8.593e-210	649
P05388	mdXP_059533013.1	0.993	317	2	0	1	317	1	317	9.584e-197	610
P60709	mdXP_059555344.1	1.0	375	0	0	1	375	1	375	3.173e-252	774
P62277	mdXP_059565011.1	1.0	151	0	0	1	151	1	151	1.3529999999999998e-93	303
P00558	sbXP_066105840.1	0.969	389	12	0	29	417	1	389	4.638e-252	776
P04406	sbXP_066117173.1	0.948	332	17	0	4	335	2	333	2.008e-208	645
P05388	sbXP_066116544.1	0.993	317	2	0	1	317	1	317	6.994e-197	611
P60709	sbXP_066129537.1	1.0	375	0	0	1	375	1	375	3.173e-252	774
