,Baseline MG94xREV omega ratio,Rate classes,Rate distributions,Corrected P-value
AjPh,0.0,1,"[[0, 1]]",1
EpPi,0.5553704202960107,1,"[[0.4376145180262391, 1]]",1
MolossusPhyllostomus,0.2536711340356129,1,"[[0.2165485541675488, 1]]",1
Myobl,0.0,1,"[[0, 1]]",1
Myotis,0.07383881090295633,2,"[[0, 0.9873125450687388], [100000, 0.01268745493126122]]",1
Phyllostomidae,0.1532152055044742,1,"[[0.1363657445555619, 1]]",1
Phyllostomus,0.6256408148793351,1,"[[0.542944949864829, 1]]",1
Pipistrellus,0.3222373432836476,1,"[[0.2887126013466727, 1]]",1
Pteropodidae,0.1006263387948053,1,"[[0.09182524530341535, 1]]",1
Pteropus,0.2617344519733442,1,"[[0.2694758476785303, 1]]",1
Pteropusgv,0.0,1,"[[0, 1]]",1
Vespertilionidae,0.2466950109935882,1,"[[0.2552213822089618, 1]]",1
Yangochiroptera,1.016114652505047,1,"[[1.080817873733009, 1]]",1
YangochiropteraAfterSaccopteryx,10000000000.0,1,"[[10000000000, 1]]",1
ajXP_036997868_1,0.1603900555255923,1,"[[0.1447909761622511, 1]]",1
drXP_024416618_1,0.394440012861249,1,"[[0.3540215582452909, 1]]",1
enKAK1342540_1,0.1754384826179551,1,"[[0.1584827153375056, 1]]",1
mbXP_005856762_1,10000000000.0,1,"[[10000000000, 1]]",1
mdXP_059552288_1,0.0,1,"[[0, 1]]",1
mlXP_006099732_1,0.1622290324072853,1,"[[0.1463302900750859, 1]]",1
mmXP_036158569_1,0.0,1,"[[0, 1]]",1
moXP_036097123_1,0.765112775043182,1,"[[0.7012616023504863, 1]]",1
paXP_006904336_1,0.0,1,"[[0, 1]]",1
pdXP_028376635_1,1.115936186191463,1,"[[0.9984614794011271, 1]]",1
pgXP_039723720_1,1.0,1,"[[1, 1]]",1
phXP_045709196_1,0.726974185951245,1,"[[0.6535928775024641, 1]]",1
pkXP_036271959_1,0.1704138348083191,1,"[[0.1535795890573766, 1]]",1
pnCAK6445350_1,1.0,1,"[[1, 1]]",1
pvXP_011365145_1,1.0,1,"[[1, 1]]",1
raXP_016013160_1,0.1336739165093314,1,"[[0.1145893695500189, 1]]",1
rfXP_032989423_1,0.452149098868163,1,"[[0.4060473761156605, 1]]",1
sbXP_066126453_1,0.2859675225746307,1,"[[0.2534385998841845, 1]]",1
