qseqid	sseqid	pident	length	mismatch	gapopen	qstart	qend	sstart	send	evalue	bitscore
NP_000184.1	rfXP_032955114.1	0.92	462	36	0	1	462	4	452	3.124e-272	837
NP_000198.1	rfXP_032975469.1	0.89	110	12	0	1	110	14	123	3.6089999999999997e-60	205
NP_000221.1	rfXP_032954923.1	0.604	167	65	0	1	167	1	164	8.264e-54	190
NP_000451.1	rfXP_032946692.1	0.809	173	32	0	1	173	1	171	3.26e-78	270
NP_000470.2	rfXP_032990275.1	0.77	568	129	0	1	560	1	568	2.6519999999999998e-267	828
NP_000505.1	rfXP_032966563.1	0.957	211	9	0	1	211	1	211	1.089e-131	417
NP_000506.2	rfXP_032947352.1	0.669	217	71	0	1	217	1	216	7.596e-89	293
NP_000538.3	rfXP_032980115.1	0.764	908	214	0	1	906	1	908	0.0	1489
NP_000548.2	rfXP_032950856.1	0.966	501	17	0	1	501	1	499	5e-323	985
NP_000563.1	rfXP_032949086.1	0.842	178	28	0	1	178	1	178	1.192e-95	311
NP_000566.3	rfXP_032956812.1	0.671	270	88	0	1	270	1	269	3.547e-105	344
NP_000567.1	rfXP_032956722.1	0.548	269	119	0	1	269	1	265	4.028e-82	277
NP_000568.1	rfXP_032956873.1	0.787	155	33	0	4	158	19	173	3.388e-82	271
NP_000575.1	rfXP_032962261.1	0.762	97	23	0	1	97	1	97	3.89e-42	152
NP_000576.1	rfXP_032991382.1	0.808	162	31	0	1	162	1	162	1.0420000000000001e-78	261
NP_000577.2	rfXP_032990779.1	0.701	154	45	0	1	153	1	154	8.496e-61	209
NP_000580.1	rfXP_032952834.1	0.506	150	66	0	1	150	1	134	2.138e-33	130
NP_000581.1	rfXP_032952893.1	0.753	134	33	0	6	139	5	138	3.272e-62	213
NP_000585.2	rfXP_032958638.1	0.854	233	34	0	1	233	1	233	3.466e-129	411
NP_000586.2	rfXP_032959547.1	0.765	205	48	0	1	205	1	205	5.557e-98	319
NP_000591.1	rfXP_032944564.1	0.594	212	84	0	1	212	1	209	6.859e-74	250
NP_000592.3	rfXP_032944791.1	0.93	729	51	0	1	727	1	729	0.0	1527
NP_000596.2	rfXP_032979153.1	0.71	176	50	0	1	175	1	176	3.9100000000000003e-76	255
NP_000600.1	rfXP_032985876.1	0.881	93	11	0	1	93	1	93	8.085e-50	174
NP_000603.1	rfXP_032975466.1	0.889	181	20	0	1	180	1	181	7.162999999999999e-103	332
NP_000605.1	rfXP_032974997.1	0.855	200	29	0	1	200	1	200	1.666e-111	358
NP_000609.1	rfXP_032973105.1	0.977	134	3	0	1	134	1	134	3.074e-84	276
NP_000610.2	rfXP_032974153.1	0.66	165	56	0	1	165	1	165	1.485e-63	218
NP_000630.1	rfXP_032947903.1	0.834	281	46	0	1	281	1	278	4.102e-147	465
NP_000632.1	rfXP_032984784.1	0.933	120	8	0	80	199	1	120	9.702e-64	220
NP_000651.3	rfXP_032984626.1	0.905	390	37	0	1	390	1	390	2.958e-241	743
NP_000748.3	rfXP_032949248.1	0.751	181	44	0	1	181	1	179	5.396e-76	272
NP_000749.2	rfXP_032952841.1	0.597	139	55	0	1	139	1	138	4.757e-49	175
NP_000750.1	rfXP_032946912.1	0.797	198	39	0	10	207	1	195	5.537e-97	316
NP_000790.2	rfXP_032965920.1	0.818	192	35	0	2	193	85	275	5.799e-91	298
NP_000791.1	rfXP_032951947.1	0.961	155	6	0	1	155	1	155	1.199e-100	324
NP_000870.1	rfXP_032952832.1	0.686	134	41	0	1	134	75	206	3.772e-48	171
NP_000871.1	rfXP_032982415.1	0.649	177	61	0	1	177	1	176	1.8979999999999997e-67	229
NP_000873.2	rfXP_032987328.1	0.779	219	46	0	35	253	1	208	2.283e-99	326
NP_000890.1	rfXP_032974083.1	0.806	273	53	0	1	273	1	273	3.896e-134	427
NP_000939.1	rfXP_032970932.1	0.755	229	55	0	1	227	1	229	5.153e-113	364
NP_001001437.2	rfXP_032947686.1	0.688	93	29	0	1	93	1	93	9.152e-37	136
NP_001001557.1	rfXP_032982360.1	0.889	461	50	0	1	455	1	461	1.033e-264	814
NP_001005609.1	rfXP_032974244.1	0.938	392	24	0	1	389	1	392	4.237e-229	708
NP_001005610.2	rfXP_032974280.1	0.859	135	18	0	1	132	1	135	5.318e-65	220
NP_001005612.2	rfXP_032974262.1	0.938	389	24	0	1	386	1	389	3.035e-227	702
NP_001005613.1	rfXP_032974280.1	0.86	136	18	0	1	133	1	136	7.827999999999999e-66	223
NP_001007140.2	rfXP_032975466.1	0.889	181	20	0	1	180	1	181	7.162999999999999e-103	332
NP_001007538.1	rfXP_032960513.1	0.861	332	46	0	1	332	1	332	4.4039999999999996e-188	586
NP_001008536.1	rfXP_032949477.1	0.578	863	363	0	1	861	1	863	1.0430000000000001e-251	801
NP_001009931.1	rfXP_032949452.1	0.568	1313	554	0	1	1313	1	1283	4.679e-245	842
NP_001010848.2	rfXP_032987315.1	0.938	701	43	0	1	696	1	701	0.0	1247
NP_001010931.1	rfXP_032944791.1	0.934	288	19	0	1	288	1	288	3.001e-195	604
NP_001010932.1	rfXP_032944792.1	0.929	724	51	0	1	722	1	724	0.0	1517
NP_001010933.1	rfXP_032944792.1	0.932	283	19	0	1	283	1	283	1.178e-191	594
NP_001010934.1	rfXP_032944791.1	0.932	208	14	0	1	208	1	208	7.346999999999999e-135	426
NP_001012333.1	rfXP_032977656.1	0.93	143	10	0	1	143	1	143	4.557e-90	293
NP_001012334.1	rfXP_032977656.1	0.93	143	10	0	1	143	1	143	4.557e-90	293
NP_001014364.1	rfXP_032949453.1	0.607	1220	463	0	1	1220	1	1178	1.4769999999999998e-297	993
NP_001019381.1	rfXP_032949714.1	0.887	98	11	0	1	98	1	98	3.0629999999999997e-47	167
NP_001019382.1	rfXP_032949714.1	0.887	98	11	0	1	98	1	98	3.0629999999999997e-47	167
NP_001019383.1	rfXP_032949714.1	0.887	98	11	0	1	98	1	98	3.0629999999999997e-47	167
NP_001019384.1	rfXP_032949714.1	0.887	98	11	0	1	98	1	98	3.0629999999999997e-47	167
NP_001020537.2	rfXP_032952390.1	0.914	141	12	0	181	321	1	140	6.634e-79	274
NP_001020538.2	rfXP_032952374.1	0.942	209	12	0	181	389	1	208	3.357e-126	411
NP_001020539.2	rfXP_032952381.1	0.937	191	12	0	181	371	1	190	5.595e-117	383
NP_001020540.2	rfXP_032952381.1	0.93	173	12	0	181	353	1	172	2.024e-105	349
NP_001020541.2	rfXP_032952390.1	0.918	147	12	0	181	327	1	146	1.683e-84	287
NP_001028928.1	rfXP_032952381.1	0.935	185	12	0	181	365	1	184	9.434e-113	371
NP_001029058.1	rfXP_032985878.1	0.898	118	12	0	1	118	1	118	1.9709999999999999e-59	203
NP_001034756.1	rfXP_032991111.1	0.713	412	105	0	1	368	1	412	2.8110000000000003e-180	566
NP_001034860.1	rfXP_032964213.1	0.926	205	15	0	1	205	1	205	3.966e-121	386
NP_001035835.1	rfXP_032975469.1	0.852	68	10	0	1	68	14	81	1.345e-29	121
NP_001038944.2	rfXP_032949447.1	0.434	92	52	0	18	109	7	98	1.3960000000000002e-20	91
NP_001072998.1	rfXP_032973595.1	0.661	192	64	0	1	192	14	204	1.458e-79	267
NP_001073966.2	rfXP_032978603.1	0.847	602	91	0	1	602	1	598	0.0	1002
NP_001073969.1	rfXP_032968482.1	0.995	222	1	0	1	222	1	222	3.0640000000000003e-163	508
NP_001093161.1	rfXP_032981378.1	0.918	159	13	0	1	159	1	159	8.608e-92	299
NP_001096124.1	rfXP_032973420.1	0.964	257	9	0	14	270	1	257	2.1670000000000003e-162	509
NP_001104753.1	rfXP_032973107.1	0.977	134	3	0	1	134	1	134	2.841e-84	277
NP_001104754.1	rfXP_032973105.1	0.973	113	3	0	6	118	22	134	6.158e-69	231
NP_001104755.1	rfXP_032973107.1	0.977	134	3	0	1	134	1	134	1.5789999999999999e-83	277
