,Baseline MG94xREV omega ratio,Rate classes,Rate distributions,Corrected P-value
AjPh,10000000000.0,1,"[[10000000000, 1]]",1.0
EpPi,0.1593278778985349,1,"[[0.151292205347073, 1]]",1.0
MolossusPhyllostomus,0.2802603889275714,1,"[[0.2796302864980932, 1]]",1.0
Myobl,0.1565247765553849,1,"[[0.1492702473651153, 1]]",1.0
Myodm,0.2336668456151486,1,"[[0.2265245594305571, 1]]",1.0
Myotis,0.1740784173341555,1,"[[0.1673685990650914, 1]]",1.0
Phyllostomidae,0.4274301505608329,1,"[[0.4157108448720791, 1]]",1.0
Phyllostomus,0.1552926507895084,2,"[[0, 0.9452355204895285], [3.23166761883886, 0.05476447951047148]]",1.0
Pipistrellus,0.2374048351330272,1,"[[0.2230512985303542, 1]]",1.0
Pteropodidae,0.1064913710938408,1,"[[0.09463452257759129, 1]]",1.0
Pteropus,0.2568808239979213,1,"[[0.2343683312671571, 1]]",1.0
Pteropusgv,0.0,1,"[[0, 1]]",1.0
Vespertilionidae,0.3002293871819501,2,"[[0, 0.7444216652119725], [1.255934986095928, 0.2555783347880275]]",1.0
Yangochiroptera,0.1020929622994243,1,"[[0.102014108426655, 1]]",1.0
YangochiropteraAfterSaccopteryx,3.58159466588292,1,"[[3.879899067331962, 1]]",1.0
ajXP_036994965_2,0.089448661359772,1,"[[0.08576916597563201, 1]]",1.0
drXP_024424804_2,0.1396698168958045,1,"[[0.1366238665560945, 1]]",1.0
enKAK1342983_1,0.1019850550038921,1,"[[0.1013679586205068, 1]]",1.0
mbXP_014395538_1,0.2091138149241043,1,"[[0.2004608807612238, 1]]",1.0
mdXP_059553462_1,0.1155816866617134,1,"[[0.1108785397830479, 1]]",1.0
mlXP_006101869_1,0.05617577822600645,1,"[[0.05385236764363848, 1]]",1.0
mmXP_036169703_1,0.1363319877117015,1,"[[0.1314358148294779, 1]]",1.0
moXP_036098012_1,0.2044064470578505,1,"[[0.1929712785408041, 1]]",1.0
paXP_015455022_1,0.6224533856998608,2,"[[0.2835151136974386, 0.9896702426917988], [580.5077013720805, 0.01032975730820118]]",8.771114147876347e-06
pdXP_028375909_1,0.1222842032289254,1,"[[0.1235656272900974, 1]]",1.0
pgXP_039694947_1,0.0,1,"[[0, 1]]",1.0
phXP_045686780_1,0.1177826485132073,1,"[[0.106355053154863, 1]]",1.0
pkXP_036280949_1,0.104679470937582,1,"[[0.1017187451100004, 1]]",1.0
pnCAK6445738_1,0.125159962528312,1,"[[0.1217046449928087, 1]]",1.0
pvXP_023376242_1,0.4053606887914447,2,"[[0.03093420507596256, 0.9523801890756469], [24242.24058910811, 0.04761981092435308]]",0.0
raXP_036090157_1,0.04184727799599849,1,"[[0.0395067660760685, 1]]",1.0
rfXP_032989758_1,0.1161056864789457,1,"[[0.1064492866921279, 1]]",1.0
sbXP_066134428_1,0.1926767848760772,2,"[[0.1465586654690715, 0.9891195487127719], [12.42649372118443, 0.01088045128722814]]",1.0
