,Baseline MG94xREV omega ratio,Rate classes,Rate distributions,Corrected P-value
AjPh,0.4546313812756616,1,"[[0.4030034427046741, 1]]",1
EpPi,0.3157401941990594,2,"[[0, 0.9480184802219223], [7.428946257058724, 0.05198151977807774]]",1
MolossusPhyllostomus,0.09753502628742923,1,"[[0.0904376911200914, 1]]",1
Myobl,10000000000.0,1,"[[10000000000, 1]]",1
Myotis,0.0,1,"[[0, 1]]",1
Phyllostomidae,0.3253372158831787,1,"[[0.2994871904627684, 1]]",1
Phyllostomus,0.3690854804035717,1,"[[0.3461028288280856, 1]]",1
Pteropodidae,0.1325853619543066,1,"[[0.1257643423733674, 1]]",1
Pteropus,2.570211348133198,1,"[[2.269211265774429, 1]]",1
Vespertilionidae,0.1661797802619128,1,"[[0.1553435566346898, 1]]",1
Yangochiroptera,0.4138320150899994,1,"[[0.3632625994236763, 1]]",1
YangochiropteraAfterSaccopteryx,1.0,1,"[[1, 1]]",1
ajXP_036982578_2,0.1848504101031297,2,"[[0, 0.9607805907703058], [5.235994029088329, 0.03921940922969425]]",1
drXP_024433948_2,1.095415601454149,1,"[[1.031114026450679, 1]]",1
mbXP_005862432_1,0.07726760116918084,1,"[[0.07212702408454257, 1]]",1
mdXP_059531404_1,10000000000.0,1,"[[10000000000, 1]]",1
mlXP_014316475_1,0.09840508560987024,1,"[[0.09210436707083441, 1]]",1
mmXP_036200237_1,0.8126648861013442,1,"[[0.7592957163865418, 1]]",1
moXP_036128527_1,0.1882421789624298,1,"[[0.1772584051424249, 1]]",1
paXP_006916251_1,0.0,1,"[[0, 1]]",1
pdXP_035884198_1,0.0,1,"[[0, 1]]",1
pgXP_039723086_1,1.0,1,"[[1, 1]]",1
phXP_045682925_1,1.0,1,"[[1, 1]]",1
pkXP_036297961_1,0.07530052637529346,1,"[[0.0709102563021288, 1]]",1
pnCAK6439690_1,0.6979595323311936,1,"[[0.6539053124138956, 1]]",1
pvXP_023380994_1,0.0,1,"[[0, 1]]",1
raXP_036080237_1,0.0,1,"[[0, 1]]",1
rfXP_032981482_1,0.03241580872942442,1,"[[0.03082878260102993, 1]]",1
sbXP_066123910_1,0.1170026240559743,1,"[[0.1089993360033664, 1]]",1
