cluster	members	cluster_size	num_species	short_living_percentage	long_living_percentage	average_silhouette_pident	average_silhouette_evalue
72	['efXP_008150328.2', 'mmXP_036185700.1', 'mbXP_005880992.1', 'mlXP_006099422.1', 'mdXP_059513841.1']	5	5	0.0	0.8	0.37629656488549623	0.17070386644953595
82	['efXP_008158474.1', 'efXP_008158474.1', 'efXP_008158474.1', 'pnCAK6435303.1', 'pnCAK6435303.1', 'pnCAK6435303.1', 'pkXP_036291886.1', 'pkXP_036291887.1', 'pkXP_036291886.1', 'pkXP_036291887.1', 'pkXP_036291886.1', 'pkXP_036291887.1']	4	3	0.75	0.0	0.46172433192686346	0.10892075166521345
89	['efXP_027997859.1', 'mmXP_036194648.1', 'mlXP_023607687.1', 'mdXP_059528656.1']	4	4	0.0	0.75	0.31700000000000006	0.12519547046695614
90	['efXP_027997861.1', 'mmXP_036194650.1', 'mlXP_023607689.1', 'mdXP_059528659.1']	4	4	0.0	0.75	0.48000000000000004	0.140121932644665
142	['mbXP_005860280.1', 'mbXP_005860280.1', 'mmXP_036197844.1', 'mmXP_036197844.1', 'mlXP_006101970.1', 'mlXP_006101970.1']	3	3	0.0	1.0	0.6363333333333333	0.1268590299545863
144	['mbXP_005860933.1', 'mlXP_006088898.1', 'mmXP_036205337.1', 'mdXP_059543033.1']	4	4	0.0	1.0	0.4861666666666667	0.3170174285174133
145	['mbXP_005861536.1', 'mlXP_006101181.1', 'mdXP_059551235.1', 'mmXP_036171397.1']	4	4	0.0	1.0	0.48283333333333334	0.2653914200656523
149	['mbXP_005865977.1', 'mmXP_036157647.1', 'efXP_008151575.2', 'mdXP_059537034.1', 'mlXP_006092178.1']	5	5	0.0	0.8	0.2857	0.21779418054518423
151	['mbXP_005867728.1', 'mmXP_036198121.1', 'mbXP_014396144.1', 'mdXP_059529283.1', 'mdXP_059529284.1']	5	3	0.0	1.0	0.39529999999999993	0.15833784931252606
153	['mbXP_005870616.1', 'mlXP_006089124.1', 'mmXP_036170897.1', 'mmXP_036170899.1', 'mdXP_059551343.1']	5	4	0.0	1.0	0.3934	0.2990509477321318
