qseqid	sseqid	pident	length	mismatch	gapopen	qstart	qend	sstart	send	evalue	bitscore
NP_000233.1	rfXP_032986648.1	0.729	248	67	0	1	248	8	254	2.2889999999999998e-111	360
NP_000482.3	rfXP_032971455.1	0.833	253	42	0	3	252	1	253	3.003e-131	418
NP_000533.3	rfXP_032981034.1	0.724	334	88	0	13	346	1	321	1.2979999999999999e-158	505
NP_000604.1	rfXP_032975857.1	0.78	465	101	0	1	462	1	465	6.353e-260	801
NP_000691.1	rfXP_032979936.1	0.904	345	33	0	1	345	1	345	2.577e-199	619
NP_001002857.1	rfXP_032964817.1	0.976	339	8	0	1	339	1	339	2.055e-213	660
NP_001002858.1	rfXP_032964817.1	0.976	339	8	0	19	357	1	339	1.843e-213	661
NP_001003954.1	rfXP_032982626.1	0.9	311	31	0	47	357	6	316	2.2079999999999998e-173	545
NP_001004419.1	rfXP_032974325.1	0.635	148	51	0	19	166	12	152	1.9040000000000001e-56	199
NP_001005914.1	rfXP_032989113.1	0.894	748	79	0	1	748	1	748	0.0	1384
NP_001006947.1	rfXP_032980820.1	0.729	310	84	0	1	310	1	310	1.255e-128	413
NP_001007034.1	rfXP_032974492.1	0.496	147	71	0	68	209	18	164	3.7169999999999997e-44	164
NP_001008224.1	rfXP_032973919.1	0.983	238	4	0	1	238	1	238	2.874e-151	475
NP_001008388.1	rfXP_032981096.1	0.668	175	58	0	1	175	1	175	1.3890000000000002e-78	261
NP_001010908.1	rfXP_032956670.1	0.996	255	1	0	1	255	1	255	2.1540000000000003e-166	519
NP_001010909.2	rfXP_032955484.1	0.472	540	266	0	27	566	41	544	5.553e-53	203
NP_001011880.2	rfXP_032983042.1	0.829	453	76	0	2	454	4	450	6.6959999999999994e-267	821
NP_001018016.1	rfXP_032947938.1	0.757	202	48	0	63	264	503	701	4.361e-88	294
NP_001018017.1	rfXP_032947938.1	0.757	202	48	0	54	255	503	701	2.96e-88	294
NP_001026872.2	rfXP_032977298.1	0.938	1093	68	0	59	1151	1	1093	0.0	2228
NP_001035167.2	rfXP_032946673.1	0.733	356	95	0	1	356	1	355	1.125e-173	546
NP_001035173.1	rfXP_032981025.1	0.56	316	138	0	11	326	6	320	8.15e-105	346
NP_001035972.1	rfXP_032984210.1	0.674	135	43	0	2	136	5	138	1.708e-59	204
NP_001036150.1	rfXP_032946673.1	0.735	355	94	0	1	355	1	355	1.309e-175	552
NP_001073980.2	rfXP_032955183.1	0.948	214	11	0	1	214	1	214	3.9089999999999996e-133	421
NP_001087239.2	rfXP_032986817.1	0.777	256	57	0	8	263	54	309	5.233e-132	421
NP_001092138.1	rfXP_032986817.1	0.782	248	54	0	1	248	62	309	1.1839999999999999e-127	407
NP_001092315.2	rfXP_032981025.1	0.563	316	137	0	11	326	6	320	2.319e-105	347
NP_001092901.1	rfXP_032972123.1	0.675	227	63	0	1	195	1	227	2.941e-99	322
NP_001099013.1	rfXP_032954633.1	0.954	458	21	0	1	458	1	457	6.9730000000000005e-295	904
NP_001107573.1	rfXP_032971843.1	0.783	245	53	0	1	245	1	245	4.772e-120	385
NP_001122108.1	rfXP_032951607.1	0.851	828	122	0	1	828	1	818	0.0	1384
NP_001123470.1	rfXP_032974493.1	0.807	276	53	0	1	276	1	276	6.276000000000001e-144	456
NP_001123554.1	rfXP_032987932.1	0.908	2137	196	0	1	2135	1	2137	0.0	3953
