NP_001265227.1	moXP_036123051.1	0.751	2613	650	0	1	2612	1	2613	0.000E+00	4076
NP_001096078.1	moXP_036123363.1	0.835	2263	373	0	2	2263	1	2263	0.000E+00	3925
XP_005247178.1	moXP_036123363.1	0.835	2263	373	0	2	2263	1	2263	0.000E+00	3925
NP_000085.1	moXP_036123039.1	0.841	2940	467	0	1	2940	1	2935	0.000E+00	5273
NP_001841.2	moXP_036099613.1	0.942	744	43	0	1	744	1	743	0.000E+00	1595
NP_004361.3	moXP_036104963.1	0.930	3065	214	0	1	3063	1	3065	0.000E+00	5977
NP_542991.3	moXP_036120585.1	0.902	695	68	0	1	695	1	690	0.000E+00	1374
NP_065933.2	moXP_036100530.1	0.787	1252	263	0	10	1261	10	1245	0.000E+00	2031
NP_001842.3	moXP_036104239.1	0.917	921	76	0	1	920	1	921	0.000E+00	1873
XP_006716714.1	moXP_036120021.1	0.924	1796	136	0	1	1796	1	1795	0.000E+00	3497
NP_001846.3	moXP_036117657.1	0.770	1388	311	0	1	1388	1	1354	0.000E+00	2237
NP_001847.3	moXP_036113078.1	0.876	1624	199	0	1	1604	1	1624	0.000E+00	3173
NP_000485.3	moXP_036121837.1	0.786	1497	303	0	1	1497	1	1415	0.000E+00	2414
NP_085059.2	moXP_036098202.1	0.635	1738	553	0	1	1516	1	1738	0.000E+00	2294
NP_001849.2	moXP_036104645.1	0.847	1158	174	0	1	1141	1	1158	0.000E+00	2170
NP_000079.2	moXP_036124066.1	0.956	1464	64	0	1	1464	1	1459	0.000E+00	3132
NP_065084.2	moXP_036099613.1	0.942	744	43	0	1	744	1	743	0.000E+00	1595
NP_001032852.2	moXP_036103072.1	0.871	1124	144	0	1	1124	1	1121	0.000E+00	2110
NP_542197.3	moXP_036128066.1	0.973	1690	46	0	1	1690	1	1690	0.000E+00	3641
NP_542411.2	moXP_036104047.1	0.956	1736	76	0	1	1736	1	1736	0.000E+00	3656
NP_542412.2	moXP_036104048.1	0.961	1650	64	0	1	1650	1	1650	0.000E+00	3498
NP_000083.3	moXP_036110009.1	0.802	1683	333	0	8	1690	3	1685	0.000E+00	3047
XP_005246338.1	moXP_036110009.1	0.802	1683	333	0	8	1690	3	1685	0.000E+00	3047
NP_511040.2	moXP_036104240.1	0.924	679	51	0	1	677	1	679	0.000E+00	1416
NP_001843.1	moXP_036112834.1	0.934	687	45	0	3	689	2	688	0.000E+00	1439
XP_006710428.1	moXP_036112834.1	0.934	687	45	0	3	689	2	688	0.000E+00	1439
NP_001844.3	moXP_036101454.1	0.910	681	61	0	6	684	2	682	0.000E+00	1380
NP_000484.2	moXP_036103987.1	0.914	680	58	0	1	680	1	680	0.000E+00	1406
