,Baseline MG94xREV omega ratio,Rate classes,Rate distributions,Corrected P-value
AjPh,0.214531018478638,1,"[[0.2095172127182042, 1]]",1
EpPi,0.2469369929152474,1,"[[0.2439724977391892, 1]]",1
MolossusPhyllostomus,0.7593192666587706,1,"[[0.7425686756129091, 1]]",1
Myobl,10000000000.0,1,"[[10000000000, 1]]",1
Myodm,10000000000.0,1,"[[10000000000, 1]]",1
Myotis,0.2680658611466443,1,"[[0.2607123738133411, 1]]",1
Phyllostomidae,0.317764711667491,1,"[[0.3110389333989433, 1]]",1
Phyllostomus,0.8882104949281706,1,"[[0.8577282620944975, 1]]",1
Pipistrellus,0.1619679462036431,1,"[[0.157774642330135, 1]]",1
Pteropodidae,0.4809662838449022,1,"[[0.4691484736948146, 1]]",1
Pteropus,0.9109000427574401,1,"[[0.886035639038542, 1]]",1
Vespertilionidae,0.1717466271920532,1,"[[0.1666868110056814, 1]]",1
Yangochiroptera,0.1037170096065354,1,"[[0.1008322310849361, 1]]",1
YangochiropteraAfterSaccopteryx,0.0,1,"[[0, 1]]",1
ajXP_037015605_2,0.5570829876684338,1,"[[0.5436842172299451, 1]]",1
drXP_024414361_1,0.2730093722436219,1,"[[0.2658519546513589, 1]]",1
enKAK1332884_1,0.3264010250147995,2,"[[0.2058366596621004, 0.9933407312495657], [279.9776948275234, 0.006659268750434322]]",1
mbXP_005885692_1,1.398729168167645,1,"[[1.360339259907279, 1]]",1
mdXP_059515254_1,0.4628730412974933,1,"[[0.4517963037464151, 1]]",1
mlXP_006104060_1,0.4738643732202811,1,"[[0.4631956379494494, 1]]",1
mmXP_036189797_1,0.09229921792107267,1,"[[0.0898156216180957, 1]]",1
moXP_036119025_1,0.4236444055129964,1,"[[0.4130332534310188, 1]]",1
paXP_006917775_1,0.4503976687050298,1,"[[0.4371979648691712, 1]]",1
pdXP_028373421_1,0.4363008070072723,1,"[[0.4250620161726858, 1]]",1
pgXP_039708302_1,1.0,1,"[[1, 1]]",1
phXP_045683361_1,0.3980700920050055,1,"[[0.3905489557157086, 1]]",1
pkXP_036291846_1,0.8324098615893801,1,"[[0.794096908727696, 1]]",1
pnCAK6435283_1,0.1142770428022541,1,"[[0.112785244984623, 1]]",1
pvXP_011368100_1,10000000000.0,1,"[[10000000000, 1]]",1
raXP_015992021_2,0.4399057096351449,1,"[[0.4265869259591918, 1]]",1
rfXP_032980992_1,0.3414652053647384,1,"[[0.3314745824458135, 1]]",1
sbXP_066123738_1,0.448148911809182,1,"[[0.4363767621301518, 1]]",1
