representative	member
ajXP_036999820.2	['ajXP_036999820.2', 'drXP_053786320.1', 'phXP_045712890.1', 'pdXP_035886528.1']
ajXP_037018853.2	['ajXP_037018853.2', 'pgXP_039700152.1', 'raXP_016004629.2', 'moXP_036110649.1', 'sbXP_066135185.1', 'paXP_006921338.1', 'pvXP_011354613.1', 'mmXP_036175696.1', 'mdXP_059558516.1', 'drXP_024419904.1', 'mbXP_005866335.1', 'enKAK1336468.1', 'rfXP_032968465.1', 'pkXP_036279091.1', 'pnCAK6448070.1', 'efXP_008144737.2', 'phXP_045702216.1', 'pdXP_035879081.1', 'mlXP_023617884.1']
ajXP_053527176.1	['ajXP_053527176.1', 'pdXP_035865363.1', 'drXP_053783376.1', 'phXP_045689068.1', 'moXP_036100530.1']
drXP_024407405.2	['drXP_024407405.2', 'drXP_024407405.2', 'rfXP_032962397.1', 'moXP_036127236.1', 'mlXP_023614431.1', 'efXP_054579148.1', 'pkXP_036316605.1', 'mbXP_014394316.1', 'mdXP_059536091.1', 'mmXP_036161322.1', 'pvXP_023389915.1', 'paXP_015447141.1', 'pgXP_039735686.1', 'raXP_036083076.1', 'sbXP_066105763.1', 'pnCAK6450331.1']
drXP_053770284.1	['drXP_053770284.1', 'mdXP_059557330.1', 'sbXP_066108920.1', 'pnCAK6446864.1', 'pkXP_036270781.1', 'mbXP_014392780.1', 'pdXP_035880153.1', 'mmXP_036174072.1', 'efXP_054577937.1', 'mlXP_023611336.1', 'moXP_036104903.1', 'phXP_045699561.1', 'raXP_016001172.2', 'raXP_016001173.2', 'pvXP_023376129.1', 'raXP_016001174.2', 'raXP_016001175.2', 'pgXP_039708867.1', 'paXP_024898589.1', 'pgXP_039708869.1', 'ajXP_053524336.1', 'pdXP_035880152.1', 'rfXP_032949571.1']
drXP_053782700.1	['drXP_053782700.1', 'paXP_024902712.1', 'mdXP_059568318.1', 'mmXP_036184054.1', 'pvXP_023388917.1', 'rfXP_032944414.1', 'pgXP_039734009.1', 'mlXP_006085025.1', 'mbXP_005876138.1', 'pdXP_028380979.1', 'raXP_016016355.1', 'sbXP_066094705.1', 'efXP_008147226.1', 'moXP_036103398.1', 'ajXP_036998672.2', 'phXP_045683489.1', 'pkXP_036285294.1', 'pnCAK6434536.1']
efXP_008151928.2	['efXP_008151928.2', 'moXP_036124066.1', 'raXP_016014028.2', 'mdXP_059526641.1', 'mmXP_036196892.1', 'ajXP_053513145.1', 'pdXP_028375444.1', 'rfXP_032946680.1', 'drXP_045038435.2', 'mlXP_006105322.1', 'pkXP_036307009.1', 'sbXP_066120021.1', 'phXP_045692310.1', 'pgXP_039702233.1', 'pnCAK6438302.1', 'paXP_006924855.1', 'pvXP_023389275.1', 'mbXP_005868232.1']
efXP_028005887.2	['efXP_028005887.2', 'mlXP_014310287.1', 'mdXP_059554124.1', 'mmXP_036169442.1', 'pkXP_036280366.1', 'mbXP_014394650.1', 'moXP_036097452.1', 'pvXP_011360460.1', 'raXP_016013857.2', 'rfXP_032952659.1', 'sbXP_066128483.1', 'paXP_024896379.1', 'pgXP_039736086.1', 'pnCAK6445972.1', 'drXP_045041661.1', 'pdXP_035870811.1', 'phXP_045679943.1', 'ajXP_037019960.1']
efXP_028007566.2	['efXP_028007566.2', 'pkXP_036299974.1', 'moXP_036098202.1']
efXP_054579271.1	['efXP_054579271.1', 'efXP_054579214.1', 'efXP_054579271.1', 'mbXP_005865275.1', 'rfXP_032968793.1', 'rfXP_032968793.1', 'mlXP_006082308.1', 'mlXP_006082308.1', 'mmXP_036161587.1', 'pnCAK6450330.1', 'raXP_036083071.1', 'mbXP_005865275.1', 'raXP_036083071.1', 'mmXP_036161587.1', 'pnCAK6450330.1', 'pkXP_036316625.1', 'paXP_015447134.1', 'pkXP_036316625.1', 'paXP_015447134.1', 'moXP_036126942.1', 'mbXP_005865274.1', 'drXP_024407383.2', 'mmXP_036161590.1', 'rfXP_032968803.1', 'sbXP_066104778.1', 'pgXP_039735637.1', 'mlXP_006082309.1', 'pgXP_039735633.1', 'pgXP_039735633.1', 'raXP_036083075.1', 'pdXP_035872638.1', 'phXP_045673445.1', 'pkXP_036316627.1', 'ajXP_037023011.2', 'mdXP_059536094.1', 'paXP_015447137.1']
