cluster	members	cluster_size	num_species	short_living_percentage	long_living_percentage	average_silhouette_pident	average_silhouette_evalue
51	['efXP_054585911.1', 'efXP_054585911.1', 'mmXP_036189368.1', 'mmXP_036189369.1', 'mmXP_036189367.1', 'mmXP_036189371.1', 'mmXP_036189368.1', 'mmXP_036189372.1', 'mmXP_036189369.1', 'mmXP_036189371.1', 'mmXP_036189372.1', 'mdXP_059520659.1', 'mdXP_059520659.1', 'mmXP_036189367.1']	7	3	0.0	0.8571428571428571	0.2734285714285714	0.2857142857142856
61	['mbXP_005859726.1', 'mbXP_014389815.1', 'mdXP_059546867.1', 'mmXP_036207853.1', 'mmXP_036207854.1', 'mlXP_006094088.2']	6	4	0.0	1.0	0.2556	0.14230713388506191
64	['mbXP_005865977.1', 'efXP_008151575.2', 'mmXP_036157647.1', 'mlXP_006092178.1', 'mdXP_059537034.1']	5	5	0.0	0.8	0.2857	0.21773271906512542
65	['mbXP_005869664.1', 'mbXP_005869664.1', 'mlXP_023611325.1', 'mbXP_005869664.1', 'mdXP_059512618.1', 'mmXP_036187082.1', 'mdXP_059512618.1', 'mmXP_036187082.1', 'mmXP_036187082.1', 'efXP_054583256.1', 'efXP_054583256.1', 'mdXP_059512618.1', 'mlXP_023611325.1', 'mlXP_023611325.1', 'efXP_054583256.1']	5	5	0.0	0.8	0.38870000000000005	0.4
67	['mbXP_005871410.1', 'mlXP_006084398.1', 'mdXP_059536914.1']	3	3	0.0	1.0	0.6603333333333333	0.35750238035057214
68	['mbXP_005875093.1', 'mlXP_023614664.1', 'mmXP_036184400.1']	3	3	0.0	1.0	0.658	0.277213580762292
74	['mbXP_014386174.1', 'mdXP_059512329.1', 'mmXP_036158240.1']	3	3	0.0	1.0	0.2686408825796192	0.638888888888889
88	['mdXP_059525433.1', 'mlXP_006107817.3', 'mmXP_036197224.1']	3	3	0.0	1.0	0.6469999999999999	0.5203608689126057
92	['mdXP_059536911.1', 'mdXP_059536910.1', 'mlXP_014307250.1', 'mlXP_014307250.1', 'mmXP_036152630.1', 'mbXP_005871407.1', 'mlXP_014307250.1', 'mlXP_014307250.1']	5	4	0.0	1.0	0.38350000000000006	0.23102175864576285
96	['mdXP_059549656.1', 'mlXP_006081093.1', 'mmXP_036166940.1']	3	3	0.0	1.0	0.641	0.6666666666666666
102	['mdXP_059564734.1', 'mlXP_006105618.2', 'mmXP_036181133.1', 'mmXP_036181133.1', 'mlXP_006105618.2', 'mbXP_005886304.1', 'mdXP_059564734.1', 'mbXP_005886304.1']	4	4	0.0	1.0	0.49683333333333335	0.5000000000000001
104	['mdXP_059567224.1', 'mmXP_036151819.1', 'mmXP_036151818.1', 'mlXP_006106939.1']	4	3	0.0	1.0	0.49016666666666664	0.3397593900983226
109	['mlXP_006084295.1', 'mbXP_014399301.1', 'mdXP_059538161.1', 'mmXP_036157454.1']	4	4	0.0	1.0	0.48649999999999993	0.30103981262784096
110	['mlXP_006085874.2', 'mmXP_036208711.1', 'mdXP_059566936.1']	3	3	0.0	1.0	0.6493333333333334	0.6064629800972912
130	['mmXP_036157689.1', 'mmXP_036157689.1', 'mlXP_014307156.1', 'mdXP_059538160.1', 'mdXP_059538160.1']	3	3	0.0	1.0	0.322	0.16698894664832142
132	['mmXP_036158664.1', 'mdXP_059552641.1', 'mbXP_014394835.1']	3	3	0.0	1.0	0.6553333333333334	0.49502656421526936
137	['mmXP_036171276.1', 'mbXP_005870752.1', 'mlXP_006101961.1', 'mdXP_059551830.1']	4	4	0.0	1.0	0.48250000000000004	0.2661677184628114
141	['mmXP_036184401.1', 'mlXP_023614665.1', 'mbXP_014402230.1']	3	3	0.0	1.0	0.6616666666666666	0.2482799406655377
146	['mmXP_036193287.1', 'mlXP_006101042.1', 'mmXP_036193287.1', 'mlXP_006101042.1', 'mmXP_036193287.1', 'mlXP_006101042.1', 'mmXP_036193287.1', 'mlXP_006101042.1', 'mmXP_036193287.1', 'mmXP_036193287.1', 'mlXP_006101042.1', 'mbXP_005871835.1', 'mbXP_005871835.1', 'mdXP_059517885.1', 'mbXP_005871835.1', 'mdXP_059517885.1', 'mdXP_059517885.1', 'mbXP_005871835.1', 'mdXP_059517885.1', 'mbXP_005871835.1', 'mdXP_059517885.1', 'mbXP_005871835.1', 'mdXP_059517885.1', 'mlXP_006101042.1']	4	4	0.0	1.0	0.477	0.2693859726776737
151	['mmXP_036198115.1', 'mmXP_036198115.1', 'mdXP_059530055.1', 'mdXP_059530056.1', 'mdXP_059530055.1', 'mdXP_059530056.1', 'mlXP_014318741.1', 'mlXP_014318741.1', 'mbXP_005879139.1', 'mbXP_005879139.1']	5	4	0.0	1.0	0.3321333333333333	0.08425851979468586
157	['mmXP_036207640.1', 'mmXP_036207640.1', 'mlXP_023613074.1', 'mlXP_023613073.1', 'mdXP_059543505.1', 'mdXP_059543505.1']	4	3	0.0	1.0	0.48516666666666663	0.5
159	['mmXP_036207807.1', 'mlXP_006097347.1', 'mdXP_059546623.1', 'mbXP_005875194.1']	4	4	0.0	1.0	0.49683333333333335	0.34294629129442866
197	['paXP_024906107.1', 'pvXP_011377943.1', 'pvXP_023378755.1', 'pvXP_011377940.1', 'pvXP_011377941.1', 'pvXP_011377943.1', 'pvXP_023378755.1', 'paXP_024906107.1', 'pgXP_039714109.1', 'pvXP_011377940.1', 'pgXP_039714109.1', 'pvXP_011377941.1']	6	3	0.8333333333333334	0.0	0.3248666666666666	0.3333333333333333
327	['pkXP_036313926.1', 'efXP_008139058.2', 'pnCAK6443690.1', 'pkXP_045443701.1']	4	3	0.75	0.0	0.48216666666666663	0.2979212621438132
385	['pvXP_023388578.1', 'pvXP_023388579.1', 'paXP_024905322.1', 'raXP_036080952.1']	4	3	0.75	0.0	0.4860000000000001	0.15139658846795487
