qseqid	sseqid	pident	length	mismatch	gapopen	qstart	qend	sstart	send	evalue	bitscore
NP_000112.1	rfXP_032989363.1	0.842	508	80	0	1	508	1	506	7.243e-281	864
NP_000544.2	rfXP_032960851.1	0.731	1450	385	0	1	1432	1	1450	0.0	2092
NP_000577.2	rfXP_032990779.1	0.701	154	45	0	1	153	1	154	8.986e-61	209
NP_000648.2	rfXP_032943456.1	0.902	195	18	0	1	195	1	188	2.776e-110	355
NP_001073285.1	rfXP_032990232.1	0.964	1370	49	0	1	1370	1	1366	0.0	2777
NP_001119603.1	rfXP_032955963.1	0.893	1238	131	0	1	1238	1	1222	0.0	2276
NP_001123914.1	rfXP_032946859.1	0.904	188	18	0	1	188	1	188	2.462e-110	354
NP_001124339.1	rfXP_032984804.1	0.966	389	13	0	1	389	1	389	1.7e-247	762
NP_001180305.1	rfXP_032965770.1	0.709	794	228	0	1	794	1	784	0.0	1088
NP_001229389.1	rfXP_032966041.1	0.799	637	123	0	1	615	1	637	0.0	1056
NP_001230013.1	rfXP_032964480.1	0.939	815	50	0	36	850	12	824	0.0	1511
NP_001265547.1	rfXP_032950532.1	0.855	359	51	0	1	359	74	424	2.899e-205	638
NP_001274177.1	rfXP_032956237.1	0.853	519	76	0	524	1042	9	527	4.4129999999999997e-277	881
NP_001277214.1	rfXP_032966957.1	0.92	238	19	0	6	243	123	360	9.906e-151	473
NP_001278787.1	rfXP_032955887.1	0.971	1366	40	0	1	1366	1	1366	0.0	2776
NP_001278791.1	rfXP_032975466.1	0.889	181	20	0	1	180	1	181	7.576999999999999e-103	332
NP_001278826.1	rfXP_032975469.1	0.89	110	12	0	1	110	14	123	3.817e-60	205
NP_001291646.4	rfXP_032985664.1	0.995	403	2	0	174	576	1	403	2.963e-273	846
NP_001303939.1	rfXP_032952381.1	0.937	191	12	0	1	191	1	190	1.43e-119	382
NP_001306120.2	rfXP_032985649.1	0.797	340	69	0	3	342	91	429	8.327e-198	615
NP_001309136.1	rfXP_032960229.1	0.973	261	7	0	223	483	30	290	1.438e-158	509
NP_001309864.1	rfXP_032985910.1	0.884	900	99	0	1	858	1	900	0.0	1549
NP_001333870.1	rfXP_032944081.1	0.895	913	95	0	31	943	245	1154	0.0	1743
NP_001338708.1	rfXP_032989589.1	0.869	651	85	0	1	651	1	649	0.0	1086
