,Baseline MG94xREV omega ratio,Rate classes,Rate distributions,Corrected P-value
AjPh,10000000000.0,1,"[[10000000000, 1]]",1.0
MolossusPhyllostomus,0.0,1,"[[0, 1]]",1.0
Myodm,10000000000.0,1,"[[10000000000, 1]]",1.0
Myotis,0.3010400112337324,1,"[[0.2830214808975393, 1]]",1.0
Pipistrellus,10000000000.0,1,"[[10000000000, 1]]",1.0
Pteropodidae,0.09418674051590258,1,"[[0, 1]]",1.0
Pteropus,0.29313540266688,1,"[[0, 1]]",1.0
Vespertilionidae,0.0,1,"[[0, 1]]",1.0
Yangochiroptera,0.2945985363540053,1,"[[0.2600120769721995, 1]]",1.0
ajXP_053518135_1,0.0,1,"[[0, 1]]",1.0
drXP_024426146_1,0.0,1,"[[0, 1]]",1.0
enKAK1339010_1,0.4946578650987384,2,"[[0.1197278946222117, 0.7864598518326359], [1334.383851824176, 0.2135401481673641]]",0.000143933294928511
mbXP_014401903_1,0.6101461480817794,1,"[[0.5734891583181898, 1]]",1.0
mdXP_059539771_1,0.0,1,"[[0, 1]]",1.0
mlXP_014306973_1,1.0,1,"[[1, 1]]",1.0
mmXP_036155874_1,1.0,1,"[[1, 1]]",1.0
moXP_036107982_1,10000000000.0,1,"[[10000000000, 1]]",1.0
paXP_024896773_1,0.7890445749127746,2,"[[0, 0.8722606543511752], [146.2878791119095, 0.1277393456488248]]",1.587663984725651e-07
pdXP_035874462_1,10000000000.0,1,"[[10000000000, 1]]",1.0
pgXP_039724979_1,1.0,1,"[[10000000000, 1]]",1.0
phXP_045686531_1,1.0,1,"[[1, 1]]",1.0
pkXP_036313447_1,1.0,1,"[[1, 1]]",1.0
pnCAK6443106_1,1.0,1,"[[1, 1]]",1.0
pvXP_023387333_1,1.305823045024248,2,"[[1, 0.860280801316111], [100000, 0.139719198683889]]",4.796163466380676e-14
raXP_036092623_1,1.0,1,"[[10000000000, 1]]",1.0
rfXP_032973940_1,0.1543737799158398,1,"[[0.1505303044329587, 1]]",1.0
sbXP_066110883_1,0.09918156354639425,1,"[[0.09177340039202428, 1]]",1.0
