moXP_036134596.1	moXP_036134596.1
paXP_006917053.2	paXP_006917053.2
paXP_006917053.2	ajXP_036981625.1
paXP_006917053.2	ajXP_036981626.1
paXP_006917053.2	drXP_024425021.1
paXP_006917053.2	phXP_045687714.1
paXP_006917053.2	phXP_045687715.1
paXP_006917053.2	moXP_036096192.1
paXP_006917053.2	pdXP_028377747.1
paXP_006917053.2	pdXP_035887865.1
paXP_006917053.2	mbXP_014390510.1
paXP_006917053.2	sbXP_066135820.1
paXP_006917053.2	raXP_015994155.1
paXP_006917053.2	raXP_015994156.1
paXP_006917053.2	raXP_036089548.1
paXP_006917053.2	pvXP_011358633.1
paXP_006917053.2	pgXP_039732156.1
paXP_006917053.2	rfXP_032991376.1
paXP_006917053.2	rfXP_032991375.1
paXP_015450260.1	paXP_015450260.1
paXP_015450260.1	paXP_015450261.1
paXP_015450260.1	paXP_015450260.1
paXP_015450260.1	paXP_015450261.1
paXP_006906741.1	paXP_006906741.1
pdXP_035878276.1	pdXP_035878276.1
pdXP_035878276.1	phXP_045713978.1
pdXP_035871871.1	pdXP_035871871.1
pdXP_035871871.1	pdXP_028359062.1
pdXP_035871871.1	pdXP_035871871.1
pdXP_035871871.1	pdXP_028359062.1
pdXP_028377074.2	pdXP_028377074.2
pdXP_028377074.2	pdXP_028377074.2
pdXP_028377074.2	phXP_045687585.1
pdXP_028377074.2	phXP_045687585.1
pdXP_028358917.1	pdXP_028358917.1
pgXP_039702354.1	pgXP_039702354.1
pgXP_039702354.1	pgXP_039702357.1
pgXP_039702354.1	paXP_015448326.1
pgXP_039702354.1	pgXP_039702353.1
pgXP_039702354.1	pvXP_011370311.1
pgXP_039702354.1	paXP_015448328.1
pgXP_039702354.1	pvXP_011370326.1
pgXP_039702354.1	pvXP_011370318.1
pgXP_039702354.1	paXP_015448327.1
pgXP_039702354.1	raXP_015991654.2
pgXP_039702354.1	raXP_015991655.2
pgXP_039739049.1	pgXP_039739049.1
pgXP_039705759.1	pgXP_039705759.1
phXP_045682128.1	phXP_045682128.1
phXP_045682128.1	pdXP_028365793.1
phXP_045704043.1	phXP_045704043.1
phXP_045704043.1	phXP_045704042.1
phXP_045704043.1	ajXP_036984956.2
phXP_045704043.1	ajXP_036984957.2
phXP_045713316.1	phXP_045713316.1
phXP_045713316.1	pdXP_028374421.2
phXP_045707562.1	phXP_045707562.1
phXP_045707562.1	pdXP_028361017.2
phXP_045695976.1	phXP_045695976.1
phXP_045704039.1	phXP_045704039.1
phXP_045690634.1	phXP_045690634.1
pkXP_036299534.2	pkXP_036299534.2
pkXP_045437550.1	pkXP_045437550.1
pkXP_045436936.1	pkXP_045436936.1
pkXP_045444850.1	pkXP_045444850.1
pkXP_045442647.1	pkXP_045442647.1
pkXP_036269689.1	pkXP_036269689.1
pnCAK6443710.1	pnCAK6443710.1
pnCAK6443710.1	pkXP_036311052.1
pnCAK6433865.1	pnCAK6433865.1
pnCAK6450649.1	pnCAK6450649.1
pnCAK6450649.1	pkXP_036295425.1
pnCAK6436619.1	pnCAK6436619.1
pvXP_011356878.1	pvXP_011356878.1
pvXP_011356878.1	rfXP_032967327.1
pvXP_011356878.1	paXP_006906772.1
pvXP_011356878.1	pvXP_023385523.1
pvXP_011356878.1	pgXP_039700731.1
pvXP_011356878.1	raXP_016012365.1
pvXP_023387672.1	pvXP_023387672.1
raXP_036080948.1	raXP_036080948.1
raXP_036080948.1	raXP_036080948.1
raXP_036080948.1	raXP_036080948.1
raXP_016016737.2	raXP_016016737.2
raXP_016008765.1	raXP_016008765.1
raXP_016008765.1	raXP_016008765.1
raXP_036080961.1	raXP_036080961.1
raXP_016018710.2	raXP_016018710.2
raXP_016011310.1	raXP_016011310.1
rfXP_032962014.1	rfXP_032962014.1
rfXP_032958943.1	rfXP_032958943.1
rfXP_032947182.1	rfXP_032947182.1
rfXP_032977798.1	rfXP_032977798.1
rfXP_032943948.1	rfXP_032943948.1
rfXP_032943948.1	rfXP_032943949.1
rfXP_032943948.1	rfXP_032943950.1
rfXP_032949962.1	rfXP_032949962.1
