,Baseline MG94xREV omega ratio,Rate classes,Rate distributions,Corrected P-value
AjPh,0.0,1,"[[0, 1]]",1.0
EpPi,0.2276127256487049,1,"[[0.2039168789584258, 1]]",1.0
MolossusPhyllostomus,0.1093287488749926,1,"[[0.1045039437124655, 1]]",1.0
Myodm,0.1814419988851101,1,"[[0.1663265763447752, 1]]",1.0
Myotis,0.4305132672072799,1,"[[0.3873615867120875, 1]]",1.0
Phyllostomidae,0.1048384158300873,1,"[[0.1049546336150359, 1]]",1.0
Phyllostomus,0.3817667608278927,1,"[[0.3458693596576067, 1]]",1.0
Pipistrellus,0.2631815384506987,1,"[[0.2414497887149593, 1]]",1.0
Pteropodidae,0.08240051081922846,2,"[[0, 0.9684335460580368], [5.118831918657885, 0.03156645394196322]]",1.0
Pteropus,0.1155212857136464,1,"[[0.1030249449149771, 1]]",1.0
Pteropusgv,0.0,1,"[[0, 1]]",1.0
Vespertilionidae,0.1821160801308193,1,"[[0.1533718150924742, 1]]",1.0
Yangochiroptera,0.04424127301457938,2,"[[0, 0.9915622127627735], [3333.361191769039, 0.008437787237226546]]",0.5425615362358212
YangochiropteraAfterSaccopteryx,1.0,1,"[[1, 1]]",1.0
ajXP_037013121_2,0.03423904666907079,1,"[[0.03085510763192944, 1]]",1.0
drXP_024409173_1,0.1490357010912576,1,"[[0.1356991714406872, 1]]",1.0
enKAK1344628_1,0.0,1,"[[0, 1]]",1.0
mbXP_005870419_1,0.0,1,"[[0, 1]]",1.0
mdXP_059548503_1,0.087513474765527,1,"[[0.07902654613316823, 1]]",1.0
mlXP_006103735_1,0.0,1,"[[0, 1]]",1.0
mmXP_036159063_1,0.0,1,"[[0, 1]]",1.0
moXP_036134744_1,0.02995403277432806,1,"[[0.0339443282822124, 1]]",1.0
paXP_006914089_1,0.0,1,"[[0, 1]]",1.0
pdXP_028369151_1,0.3642539349943857,1,"[[0.3327345681873737, 1]]",1.0
pgXP_039740660_1,1.0,1,"[[1, 1]]",1.0
phXP_045704740_1,0.0,1,"[[0, 1]]",1.0
pkXP_045426264_1,0.0,1,"[[0, 1]]",1.0
pnCAK6444896_1,0.09093877054082357,1,"[[0.08303453449855566, 1]]",1.0
pvXP_011375050_1,1.0,1,"[[1, 1]]",1.0
raXP_036081870_1,0.2215991633217953,1,"[[0.1895776913772, 1]]",1.0
rfXP_032957302_1,0.1625080057039043,1,"[[0.1431293059503308, 1]]",1.0
sbXP_066131535_1,0.0861477913426385,1,"[[0.07292905641525185, 1]]",1.0
